Nat.	Name	Moving from	Type	Transfer window	Ends	Transfer fee
ARG	Arruabarrena	Villarreal	Transfer	Summer	2010	Free
GRE	Pavlis	Youth system	Promotion	Summer	2010	—
BRA	Manduca	Youth system	Transfer	Summer	2010	€750K
BRA	Edson Ratinho	Mogi Mirim	Transfer	Summer	2012	€250K
CAN MWI	Nsaliwa	Panionios	Transfer	Summer	2010	€450K
BRA	Rivaldo	Olympiacos	Transfer	Summer	2009	Free
GRE	Bourbos	Kerkyra	Loan Return	Summer	2010	—
GRE	Zorbas	Niki Volos	Loan Return	Summer	2011	—
CYP	Tofas	Ethnikos Piraeus	Loan Return	Summer	2010	—
GRE	Koutromanos	Thrasyvoulos	Loan Return	Summer	2011	—
POR	Geraldo	Paços de Ferreira	Transfer	Summer	2010	€300K
ARG	Azcárate	AtléticoMadrid	Transfer	Summer	2011	Free
GRE	Pappas	Olympiacos	Transfer	Summer	2010	Free
GRE ROM	Barboudis	Ilisiakos	Transfer	Summer	2010	€60K
BRA	Moretto	Benfica	Loan	Summer	2008	Free
SEN	Diouf	Xam-Xam	Transfer	Summer	2011	Free
ARG	Blanco	Colón	Loan	Summer	2008	€450K
POR	Manú	Benfica	Loan	Summer	2008	Free
AUT	Macho	1. FC Kaiserslautern	Transfer	Summer	2009	€300K
GRE	Tachtsidis	Youth system	Promotion	Summer	2010	—
GRE	Gentsoglou	Panachaiki	Loan return	Winter	2013	—
SLE	Kallon	Monaco	Transfer	Winter	2008	Free
POR	Edinho	VitóriadeSetúbal	Loan	Winter	2008	€150K
