Mark	Wind*	Athlete	Nationality	Venue	Date
8.95m(29ft4¼in)	0.3	Mike Powell	United States	Tokyo	August 30, 1991
8.90m(29ft2¼in) A	2.0	Bob Beamon	United States	Mexico City	October 18, 1968
8.87m(29ft1in)	−0.2	Carl Lewis	United States	Tokyo	August 30, 1991
8.86m(29ft0¾in) A	1.9	Robert Emmiyan	Soviet Union	Tsakhkadzor	May 22, 1987
8.74m(28ft8in)	1.4	Larry Myricks	United States	Indianapolis	July 18, 1988
8.74m(28ft8in) A	2.0	Erick Walder	United States	El Paso	April 2, 1994
8.74m(28ft8in)	−1.2	Dwight Phillips	United States	Eugene	June 7, 2009
8.73m(28ft7½in)	1.2	Irving Saladino	Panama	Hengelo	May 24, 2008
8.71m(28ft6¾in)	1.9	Iván Pedroso	Cuba	Salamanca	July 18, 1995
8.66m(28ft4¾in)	1.6	Loúis Tsátoumas	Greece	Kalamáta	June 2, 2007
