Round	Date	Home	Result	Visitor	Venue	Attendance
50	Tuesday, February 10	Frölunda HC	4–1	Brynäs IF	Scandinavium	11,497
48	Thursday, February 12	Frölunda HC	4–1	Rögle BK	Scandinavium	11,186
48	Thursday, February 12	Södertälje SK	3–2	Färjestads BK	AXA Sports Center	2,905
48	Thursday, February 12	Djurgårdens IF	5–2	Luleå HF	Hovet	6,834
48	Thursday, February 12	Brynäs IF	6–1	Linköpings HC	Läkerol Arena	4,881
48	Thursday, February 12	Timrå IK	3–3	HV71	E.ON Arena	5,414
48	Thursday, February 12	Modo Hockey	4–1	Skellefteå AIK	Swedbank Arena	7,543
49	Saturday, February 14	Färjestads BK	8–1	Frölunda HC	Löfbergs Lila Arena	8,250
49	Saturday, February 14	HV71	2–3	Skellefteå AIK	Kinnarps Arena	7,038
49	Saturday, February 14	Linköpings HC	1–3	Timrå IK	Cloetta Center	8,121
49	Saturday, February 14	Södertälje SK	0–4	Luleå HF	AXA Sports Center	3,225
49	Saturday, February 14	Rögle BK	1–4	Brynäs IF	Lindab Arena	5,011
49	Saturday, February 14	Modo Hockey	4–4	Djurgårdens IF	Swedbank Arena	7,600
50	Monday, February 16	Färjestads BK	6–3	Linköpings HC	Löfbergs Lila Arena	7,091
50	Monday, February 16	Skellefteå AIK	3–0	Södertälje SK	Skellefteå Kraft Arena	5,268
50	Monday, February 16	Luleå HF	6–1	Rögle BK	COOP Arena	4,905
50	Tuesday, February 17	Modo Hockey	4–6	HV71	Swedbank Arena	6,485
50	Tuesday, February 17	Djurgårdens IF	4–1	Timrå IK	Hovet	6,622
51	Thursday, February 19	HV71	2–3 (OT)	Frölunda HC	Kinnarps Arena	7,038
51	Thursday, February 19	Linköpings HC	1–3	Luleå HF	Cloetta Center	7,992
51	Thursday, February 19	Djurgårdens IF	3–4	Färjestads BK	Hovet	8,094
51	Thursday, February 19	Rögle BK	6–2	Modo Hockey	Lindab Arena	5,071
51	Thursday, February 19	Brynäs IF	3–1	Södertälje SK	Läkerol Arena	6,325
51	Thursday, February 19	Timrå IK	8–0	Skellefteå AIK	E.ON Arena	5,804
52	Saturday, February 21	Södertälje SK	2–2	Timrå IK	AXA Sports Center	2,859
52	Saturday, February 21	Linköpings HC	1–4	Frölunda HC	Cloetta Center	8,401
52	Saturday, February 21	Färjestads BK	6–3	Modo Hockey	Löfbergs Lila Arena	8,250
52	Saturday, February 21	Brynäs IF	4–2	Djurgårdens IF	Läkerol Arena	8,166
52	Saturday, February 21	Skellefteå AIK	3–2 (OT)	Rögle BK	Skellefteå Kraft Arena	5,541
52	Saturday, February 21	Luleå HF	2–1	HV71	COOP Arena	5,497
53	Monday, February 23	Modo Hockey	5–0	Luleå HF	Swedbank Arena	6,433
53	Monday, February 23	Timrå IK	2–3	Frölunda HC	E.ON Arena	5,624
53	Monday, February 23	Rögle BK	3–4 (OT)	Färjestads BK	Lindab Arena	5,031
53	Tuesday, February 24	HV71	3–1	Brynäs IF	Kinnarps Arena	7,038
53	Tuesday, February 24	Linköpings HC	7–5	Södertälje SK	Cloetta Center	7,004
53	Tuesday, February 24	Djurgårdens IF	2–2	Skellefteå AIK	Hovet	7,559
54	Thursday, February 26	Frölunda HC	4–2	Modo Hockey	Scandinavium	12,044
54	Thursday, February 26	Färjestads BK	2–1	HV71	Löfbergs Lila Arena	7,626
54	Thursday, February 26	Södertälje SK	3–1	Djurgårdens IF	AXA Sports Center	4,049
54	Thursday, February 26	Rögle BK	3–6	Linköpings HC	Lindab Arena	4,712
54	Thursday, February 26	Brynäs IF	4–3	Timrå IK	Läkerol Arena	7,293
54	Thursday, February 26	Luleå HF	2–3	Skellefteå AIK	COOP Arena	5,600
55	Saturday, February 28	Skellefteå AIK	3–6	Linköpings HC	Skellefteå Kraft Arena	5,422
55	Saturday, February 28	Modo Hockey	3–4 (OT)	Södertälje SK	Swedbank Arena	6,661
55	Saturday, February 28	Timrå IK	2–3	Luleå HF	E.ON Arena	5,911
55	Saturday, February 28	Brynäs IF	1–3	Färjestads BK	Läkerol Arena	7,522
55	Saturday, February 28	Frölunda HC	5–3	Djurgårdens IF	Scandinavium	11,795
55	Saturday, February 28	HV71	5–2	Rögle BK	Kinnarps Arena	6,996
