Res.	Record	Opponent	Method	Event	Round	Time
Win	12-5	Dave Keeley	Submission (guillotine choke)	RFC - Recife Fighting Championship 5	1	2:27
Win	11-5	Lloyd Giles	Submission (guillotine choke)	UCC 3 - New Breed	1	1:36
Win	10-5	Temistokles Teresiewicz	Decision (unanimous)	Pro Fight 5	2	5:00
Loss	9-5	Stefan Struve	Submission (rear naked choke)	CG 10 - Clash of the Titans	2	3:19
Loss	9-4	Eddie Sanchez	KO (punches)	UFC 63	2	0:17
Win	9-3	Paul Bowers	Submission (brabo choke)	GR 16 - Goshin Ryu 16	1	2:04
Win	8-3	Markus Hipp	TKO (strikes)	CWFC - Strike Force 5	1	0:36
Win	7-3	Przemyslaw Mysiala	Submission (brabo choke)	CWFC - Enter the Wolfslair	1	4:52
Win	6-3	John Dixon	Submission (punches)	WAFC - World Championship 2003	2	N/A
Win	5-3	Valery Pliev	Decision	WAFC - World Championship 2003	5	5:00
Win	4-3	Roman Savochka	TKO (rib injury)	WAFC - World Championship 2003	2	N/A
Win	3-3	Seth Petruzelli	Submission	1WVC 13 - World Vale Tudo Championship 13	1	17:36
Loss	2-3	Justin McCully	Submission (kneebar)	WVC 9 - World Vale Tudo Championship 9	1	1:53
Win	2-2	Travis Fulton	Submission (rear naked choke)	BVF 12 - Circuito Brasileiro de Vale Tudo 4	1	10:36
Win	1-2	Gary Goodridge	Submission (dehydration)	UVF 6 - Universal Vale Tudo Fighting 6	1	6:02
Loss	0-2	Kevin Randleman	Submission (punches)	UVF 6 - Universal Vale Tudo Fighting 6	1	11:24
Loss	0-1	Dan Severn	Decision	UVF 4 - Universal Vale Tudo Fighting 4	1	40:00
