Week	Date	Opponent	Result	Attendance
1	September 9, 1990	at Kansas City Chiefs	L 24–21	68,363
2	September 16, 1990	New Orleans Saints	W 32–3	56,272
3	September 23, 1990	at Chicago Bears	L 19–16	65,420
4	September 30, 1990	Tampa Bay Buccaneers	L 23–20 (OT)	54,462
5	October 7, 1990	Detroit Lions	L 34–27	57,586
6	October 15, 1990	at Philadelphia Eagles	L 32–24	66,296
7	Bye	Bye	Bye	Bye
8	October 28, 1990	at Green Bay Packers (Milw)	L 24–10	55,125
9	November 4, 1990	Denver Broncos	W 27–22	57,331
10	November 11, 1990	at Detroit Lions	W 17–7	68,264
11	November 18, 1990	at Seattle Seahawks	W 24–21	59,735
12	November 25, 1990	Chicago Bears	W 41–13	58,866
13	December 2, 1990	Green Bay Packers	W 23–7	62,058
14	December 9, 1990	at New York Giants	L 23–15	76,121
15	December 16, 1990	at Tampa Bay Buccaneers	L 26–13	47,272
16	December 22, 1990	Los Angeles Raiders	L 28–24	53,899
17	December 30, 1990	San Francisco 49ers	L 20–17	51,590
