Rank	Nation	Gold	Silver	Bronze	Total
1	Faroe Islands	34	23	24	81
2	Isle of Man	29	30	29	88
3	Jersey	24	37	19	80
4	Guernsey	21	12	27	60
5	Gotland	21	11	23	55
6	Åland	16	19	18	53
7	Bermuda	14	6	12	32
8	Minorca	9	7	11	27
9	Cayman Islands	7	4	3	14
10	Saaremaa	6	9	10	25
11	Isle of Wight	4	6	8	18
12	Gibraltar	4	3	8	15
13	Rhodes	3	8	7	18
14	Shetland Islands	2	1	7	10
15	Greenland	1	4	3	8
16	Orkney	1	2	3	6
17	Western Isles	1	2	2	5
17	Ynys Môn/Anglesey	1	2	2	5
19	Hitra	0	2	0	2
19	Sark	0	2	0	2
21	Alderney	0	0	0	0
21	Falkland Islands	0	0	0	0
21	Frøya	0	0	0	0
21	Prince Edward Island	0	0	0	0
21	Saint Helena	0	0	0	0
