RNA Segment (Gene)	Size ( s base pair )	Protein	Molecular weight kDa	Location	Copies per particle
1	3302	VP1	125	At the vertices of the core	<25
2	2690	VP2	102	Forms inner shell of the core	120
3	2591	VP3	88	At the vertices of the core	<25
4	2362	VP4	87	Surface spike	120
5	1611	NSP1	59	Nonstructural	0
6	1356	VP6	45	Inner Capsid	780
7	1104	NSP3	37	Nonstructural	0
8	1059	NSP2	35	Nonstructural	0
9	1062	VP7 1 VP7 2	38 and 34	Surface	780
10	751	NSP4	20	Nonstructural	0
11	667	NSP5 NSP6	22	Nonstructural	0
