Week	Date	Opponent	Result	Game site	Attendance
1	1992-09-06	at Atlanta Falcons	L 20–17	Georgia Dome	65,585
2	1992-09-13	at Pittsburgh Steelers	L 27–10	Three Rivers Stadium	56,050
3	1992-09-20	San Francisco 49ers	L 31–14	The Meadowlands	71,020
4	1992-09-27	at Los Angeles Rams	L 18–10	Anaheim Stadium	42,005
5	1992-10-04	New England Patriots	W 30–21	The Meadowlands	60,180
6	1992-10-11	at Indianapolis Colts	L 6–3	Hoosier Dome	48,393
7	Bye	Bye	Bye	Bye	Bye
8	1992-10-26	Buffalo Bills	L 24–20	The Meadowlands	68,181
9	1992-11-01	Miami Dolphins	W 26–14	The Meadowlands	69,313
10	1992-11-08	at Denver Broncos	L 27–16	Mile High Stadium	74,678
11	1992-11-15	Cincinnati Bengals	W 17–14	The Meadowlands	60,196
12	1992-11-22	at New England Patriots	L 24–3	Foxboro Stadium	27,642
13	1992-11-29	Kansas City Chiefs	L 23–7	The Meadowlands	57,375
14	1992-12-06	at Buffalo Bills	W 24–17	Rich Stadium	75,876
15	1992-12-13	Indianapolis Colts	L 10–6	The Meadowlands	33,684
16	1992-12-20	at Miami Dolphins	L 19–17	Joe Robbie Stadium	68,275
17	1992-12-26	New Orleans Saints	L 20–0	The Meadowlands	45,614
