Team	Manager 1	Captain	Kit manufacturer	Shirt sponsor
Arsenal	Arsène Wenger	Tony Adams	Nike	JVC
Aston Villa	Brian Little	Andy Townsend	Reebok	AST Research
Blackburn Rovers	Tony Parkes	Tim Sherwood	ASICS	CIS
Chelsea	Ruud Gullit	Dennis Wise	Umbro	Coors
Coventry City	Gordon Strachan	Gary McAllister	Le Coq Sportif	Peugeot
Derby County	Jim Smith	Igor Štimac	Puma	Puma
Everton	Dave Watson (caretaker)	Dave Watson	Umbro	Danka
Leeds United	George Graham	Ian Rush	Puma	Packard Bell
Leicester City	Martin O'Neill	Steve Walsh	Fox Leisure	Walkers
Liverpool	Roy Evans	John Barnes	Reebok	Carlsberg
Manchester United	Alex Ferguson	Eric Cantona	Umbro	Sharp
Middlesbrough	Bryan Robson	Nigel Pearson	Erreà	Cellnet
Newcastle United	Kenny Dalglish	Rob Lee	Adidas	Newcastle Brown Ale
Nottingham Forest	Dave Bassett	Stuart Pearce	Umbro	Labatt's
Sheffield Wednesday	David Pleat	Peter Atherton	Puma	Sanderson
Southampton	Graeme Souness	Matt Le Tissier	Pony	Sanderson
Sunderland	Peter Reid	Kevin Ball	Avec	Vaux Breweries
Tottenham Hotspur	Gerry Francis	Gary Mabbutt	Pony	Hewlett-Packard
West Ham United	Harry Redknapp	Julian Dicks	Pony	Dagenham Motors
Wimbledon	Joe Kinnear	Robbie Earle	Lotto	Elonex
