Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
3	November 1	@ L.A. Clippers	W 97–88 (OT)	Tony Parker (19)	Antonio McDyess (10)	Tony Parker (9)	Staples Center 14,964	2–1
4	November 3	@ Phoenix	W 112–110 (OT)	Richard Jefferson (28)	Tim Duncan (17)	Tony Parker (6)	US Airways Center 17,060	3–1
5	November 6	Houston	W 124–121 (OT)	Manu Ginóbili (28)	Tim Duncan (11)	Tony Parker (14)	AT&T Center 17,740	4–1
6	November 8	@ Charlotte	W 95–91 (OT)	Manu Ginóbili (26)	Tim Duncan (10)	Tony Parker (8)	Time Warner Cable Arena 14,152	5–1
7	November 10	L.A. Clippers	W 107–95 (OT)	Manu Ginóbili , Richard Jefferson (22)	Antonio McDyess (9)	Tony Parker (9)	AT&T Center 17,309	6–1
8	November 13	Philadelphia	W 116–93 (OT)	Tony Parker (24)	DeJuan Blair (12)	Tony Parker (7)	AT&T Center 17,627	7–1
9	November 14	@ Oklahoma City	W 117–104 (OT)	Tony Parker (24)	DeJuan Blair (11)	George Hill (5)	Oklahoma City Arena 18,203	8–1
10	November 17	Chicago	W 103–94 (OT)	Tony Parker (21)	Tim Duncan (18)	Tony Parker (7)	AT&T Center 18,581	9–1
11	November 19	@ Utah	W 94–82 (OT)	Tony Parker (24)	Tim Duncan (14)	Tony Parker (7)	EnergySolutions Arena 19,332	10-1
12	November 20	Cleveland	W 116–92 (OT)	Tony Parker (19)	DeJuan Blair (9)	Tony Parker (9)	AT&T Center 16,982	11–1
13	November 22	Orlando	W 106–97 (OT)	Manu Ginóbili (25)	Matt Bonner (7)	Tony Parker (10)	AT&T Center 17,627	12–1
14	November 24	@ Minnesota	W 113–109 (OT)	Manu Ginóbili (26)	Tim Duncan (13)	Manu Ginóbili , Tony Parker (6)	Target Center 13,117	13–1
15	November 26	Dallas	L 94–103 (OT)	Manu Ginóbili (31)	Tim Duncan (8)	Manu Ginóbili , Tim Duncan (4)	AT&T Center 18,581	13–2
16	November 28	@ New Orleans	W 109–95 (OT)	Manu Ginóbili (23)	Tim Duncan , Manu Ginóbili , Antonio McDyess (7)	Tony Parker (9)	New Orleans Arena 12,449	14–2
