Contestant	Background	Original team	Age	Hometown	Result
Ryan Mayberry	Internet dreamer	Team Power	24	Lancaster, Pennsylvania	Winner
Larry Wade	Financial consultant	Team Money	26	Tampa, Florida	Runner-up
Maurice "Cornbreadd"	Aspiring music mogul	Team Money	26	Houston, Texas	3rd place
Mehgan James	Business major	Team Power	18	Houston, Texas	4th place
Derrick Hargrove	Civil servant	Team Power	18	Plant City, Florida	5th place
Nikki Shallwani	Advertising rep.	Team Money	26	Aurora, Illinois	6th place
Lawrence "Musso"	Bartender / entrepreneur	Team Power	23	Brooklyn, New York	7th place
Jennifer "Jenn"	Merchandising major	Team Money	18	San Diego, California	8th place
DaJuan Watkins	Independent promoter	Team Power	22	Gary, Indiana	9th place
Rebecca Clark	Yoga instructor	Team Power	21	Santa Monica, California	10th place
Precious Bogard	Small business owner	Team Money	20	Lancaster, California	11th place
Nima "Blue Eyes"	Advertising rep.	Team Money	21	Thousand Oaks, California	12th place
Nathan Strickland	Marketing director	Team Power	20	Calhoun, Georgia	13th place
