Outcome	Tournament	Surface	Partner	Opponent in the final	Score
Winner	Tipton	Hard	Rebecca Llewellyn	Klaudia Jans Alicja Rosolska	2–6 6–1 6–4
Runner–up	Tipton	Hard	Katie O'Brien	Surina de Beer Rebecca Llewellyn	4–6 2–6
Runner–up	Hull	Hard	Katie O'Brien	Irena Bulykina Vasilisa Davydova	6–4 3–6 [5–10]
Winner	Bath	Hard	Surina de Beer	Ekaterina Kozhokina Trudi Musgrave	6–2 7–5
Winner	Bournemouth	Clay	Claire Peterzan	Anna Hawkins Holly Richards	5–7 6–4 6–3
Winner	Edinburgh	Clay	Rebecca Llewellyn	Leonie Mekel Bibiane Schoofs	6–0 3–6 6–3
Runner–up	Jersey	Hard	Katie O'Brien	Andrea Hlaváčková Matea Mezak	3–6 1–6
Winner	Nottingham	Hard	Karen Paterson	Katie O'Brien Margit Rüütel	6–2 2–6 7–6 (7–1)
Winner	Nantes	Hard	Rebecca Llewellyn	Sabine Lisicki Irena Pavlovic	6–2 6–0
Runner–up	Stockholm	Hard	Sorana Cîrstea	Danica Krstajić Olga Panova	2–6 6–0 2–6
Runner–up	Gran Canaria	Hard	Claire Curran	Sorana Cîrstea Mădălina Gojnea	6–4 6–7 (5–7) 4–6
Runner–up	La Palma	Hard	Arantxa Parra Santonja	Petra Cetkovská Andrea Hlaváčková	3–6 2–6
Winner	Surbiton	Grass	Karen Paterson	Elena Baltacha Naomi Cavaday	6–1 6–4
Winner	Felixstowe	Grass	Karen Paterson	Jade Curtis Rebecca Llewellyn	6–3 6–3
Winner	La Coruña	Hard	Marina Erakovic	Andrea Hlaváčková Justine Ozga	6–1 4–6 [10–4]
Runner–up	Nantes	Hard	Caroline Maes	Sofia Arvidsson Johanna Larsson	6–4 5–7 [7–10]
Winner	Sorrento	Hard	Monique Adamczak	Chang Kai-chen Hwang I-hsuan	6–2 6–4
Runner–up	Gifu	Carpet	Nicole Thijssen	Kimiko Date-Krumm Kurumi Nara	1–6 7–6 (10–8) [7–10]
Winner	Fukuoka	Carpet	Nicole Thijssen	Maya Kato Julia Moriarty	4–6 6–3 [14–12]
Runner–up	Monterrey	Hard	Monique Adamczak	Jelena Pandžić Magdaléna Rybáriková	6–4 4–6 [8–10]
Winner	Toyota	Carpet	Emma Laine	Kimiko Date-Krumm Han Xinyun	6–1 7–5
Winner	Helsinki	Hard	Emma Laine	Anna Smith Johanna Larsson	6–3 6–3
Winner	Glasgow	Hard	Emma Laine	Evelyn Mayr Julia Mayr	6–3 6–2
Runner–up	Jersey	Hard	Jarmila Gajdošová	Maret Ani Anna Smith	7–5 6–4
Runner–up	Gifu	Clay	Ksenia Lykina	Erika Sema Tomoko Yonemura	3–6, 6–2, 2–6
Winner	Tallinn	Hard	Emma Laine	Lu Jingjing Sun Shengnan	6–3 6–4
Runner–up	Port Pirie	Clay	Remi Tezuka	Bojana Bobusic Alenka Hubacek	3–6, 2–6
Winner	Traralgon	Hard	Tímea Babos	Jarmila Gajdošová Jade Hopper	6–3 6–2
Winner	Bendigo	Hard	Tímea Babos	Jarmila Gajdošová Jade Hopper	6–3 6–2
Winner	Sutton	Hard	Emma Laine	Marta Domachowska Darija Jurak	6–3, 5–7, [10–8]
Runner-up	Hammond, Louisiana	Hard	Mervana Jugić-Salkić	Christina Fusano Julie Ditty	3–6, 3–6
Runner-up	Woking	Hard	Emma Laine	Julie Coin Eva Hrdinová	1–6, 6–3, 4–6
Runner-up	Wrexham	Hard	Lenka Wienerova	Anna Fitzpatrick Jade Windley	2–6, 6–4, 4–6
Winner	Burnie	Hard	Arina Rodionova	Stephanie Bengson Tyra Calderwood	6–2, 6–2
Winner	Sydney	Hard	Arina Rodionova	Duan Yingying Han Xinyun	3–6, 6–3, [10–8]
Runner-up	Bath	Hard (i)	Julie Coin	Tatjana Maria Stephanie Vogt	3–6, 6–3, 3–10
Runner-up	Kurume	Grass	Ksenia Lykina	Han Xinyun Sun Shengnan	1–6, 0–6
Winner	Glasgow	Hard (i)	Tara Moore	Anna Smith Francesca Stephenson	7–6 (7–5) , 6–3
Runner-up	Preston	Hard (i)	Tara Moore	Samantha Murray Jade Windley	3–6, 6–3, [5–10]
Winner	Rancho Mirage	Hard	Tara Moore	Jan Abaza Louisa Chirico	4–6, 6–2, [12–10]
Runner-up	Phuket	Hard (i)	Tara Moore	Nicha Lertpitaksinchai Peangtarn Plipuech	3–6 7–5 [9–11]
Runner-up	Wrexham	Hard	Anna Smith	Kanae Hisami Mari Tanaka	3–6, 6–7
Winner	Nottingham	Hard	Anna Smith	Daneika Borthwick Anna Fitzpatrick	6–4, 6–2
Runner-up	Antalya	Hard	Emma Laine	Andrea Benítez Carla Forte	6–4, 3–6, [8–10]
Winner	Antalya	Hard	Emma Laine	Patcharin Cheapchandej Tanaporn Thongsing	6–4, 6–3
