Week	Date	Opponent	Location	Time ( ET )	Result	Record
1	Sun. Sep. 5	San Francisco 49ers	Three Rivers Stadium	1:00pm	L 24–13	0–1
2	Sun. Sep. 12	at Los Angeles Rams	Anaheim Stadium	4:00pm	L 27–0	0–2
3	Sun. Sep. 19	Cincinnati Bengals	Three Rivers Stadium	1:00pm	W 34–7	1–2
4	Mon. Sep. 27	at Atlanta Falcons	Georgia Dome	9:00pm	W 45–17	2–2
5	Sun. Oct. 3	Bye	Bye	Bye	Bye	Bye
6	Sun. Oct. 10	San Diego Chargers	Three Rivers Stadium	4:00pm	W 16–3	3–2
7	Sun. Oct. 17	New Orleans Saints	Three Rivers Stadium	1:00pm	W 37–14	4–2
8	Sun. Oct. 24	at Cleveland Browns	Cleveland Municipal Stadium	4:00pm	L 28–23	4–3
9	Sun. Oct. 31	Bye	Bye	Bye	Bye	Bye
10	Sun. Nov. 7	at Cincinnati Bengals	Riverfront Stadium	1:00pm	W 24–16	5–3
11	Mon. Nov. 15	Buffalo Bills	Three Rivers Stadium	9:00pm	W 23–0	6–3
12	Sun. Nov. 21	at Denver Broncos	Mile High Stadium	4:00pm	L 37–13	6–4
13	Sun. Nov. 28	at Houston Oilers	Astrodome	8:00pm	L 23–3	6–5
14	Sun. Dec. 5	New England Patriots	Three Rivers Stadium	1:00pm	W 17–14	7–5
15	Mon. Dec. 13	at Miami Dolphins	Joe Robbie Stadium	9:00pm	W 21–20	8–5
16	Sun. Dec. 19	Houston Oilers	Three Rivers Stadium	1:00pm	L 26–17	8–6
17	Sun. Dec. 26	at Seattle Seahawks	Kingdome	4:00pm	L 16–6	8–7
18	Sun. Jan. 2	Cleveland Browns	Three Rivers Stadium	1:00pm	W 16–9	9–7
