Result	Date	Race	Venue	Group	Distance	Weight (kg)	Jockey	Winner/2nd
5th	17 Aug 2002	Goodwood Sprint	Belmont	LR	1300 m	60	P. Carbery	1st - Tribula
4th	31 Aug 2002	Memsie Stakes	Caulfield	G2	1410 m	58	D. Oliver	1st - Magical Miss
Won	07 Sep 2002	Craiglee Stakes	Flemington	G2	1600 m	58	G. Childs	2nd - Le Zagaletta
Won	22 Sep 2002	Underwood Stakes	Caulfield	G1	1800 m	58	G. Childs	2nd - Magical Miss
Won	05 Oct 2002	Turnbull Stakes	Flemington	G2	2000 m	59	G. Childs	2nd - Dash For Cash
Won	19 Oct 2002	Caulfield Cup	Caulfield	G1	2400 m	58	G. Childs	2nd - Fields Of Omagh
Won	26 Oct 2002	Cox Plate	Moonee Valley	G1	2040 m	58	P. Payne	2nd - Defier
4th	08 Feb 2003	C F Orr Stakes	Caulfield	G1	1400 m	58	P. Payne	1st - Yell
Won	22 Feb 2003	St George Stakes	Caulfield	G2	1800 m	58	P. Payne	2nd - Fields Of Omagh
2nd	01 Mar 2003	Victoria Cup	Caulfield	LR	2020 m	60	P. Payne	1st - Mr Trickster
Won	10 Mar 2003	Australia Cup	Flemington	G1	2000 m	58	P. Payne	2nd - Natural Blitz
2nd	29 Mar 2003	Ranvet Stakes	Rosehill	G1	2000 m	58	P. Payne	1st - Republic Lass
6th	05 Apr 2003	Manion Cup	Rosehill	G3	2400 m	61	P. Payne	1st - Grand City
2nd	12 Apr 2003	The BMW Stakes	Rosehill	G1	2400 m	58	P. Payne	1st - Freemason
