Title	Composer(s)	Guest performer	Producer(s)	Time
"The Path"	L. Manson E. Greene	Black Ice	Eric "Booty" Greene	3:04
"The Ugly Show"	L. Manson E. Greene	Black Ice	Eric "Booty" Greene	5:49
"A Dream Transferred"	L. Manson E. Greene	Black Ice	Eric "Booty" Greene	3:08
"Lone Soldier"	L. Manson E. Greene E. Bass	Black Ice Chinahblac	Eric "Booty" Greene	4:00
"Takeyatime"	L. Manson E. Greene T. Johnson	Black Ice Musiq	Eric "Booty" Greene	4:48
"Nice2MeetU"	L. Manson E. Greene V. Roane	Black Ice V	Eric "Booty" Greene	2:50
"Hoodwatch!!!"	L. Manson E. Greene	Black Ice	Eric "Booty" Greene	4:03
"Front Page"	L. Manson E. Greene	Black Ice	Eric "Booty" Greene	4:22
"Rain, Hail, Sleet or Snow"	L. Manson E. Greene H. Hill	Black Ice H. Hill	Eric "Booty" Greene	4:09
"The Beast Within"	L. Manson E. Greene H. Hill	Black Ice H. Hill	Eric "Booty" Greene	3:58
"Shine"	L. Manson E. Greene N. Stewart	Black Ice Natalie Stewart of Floetry	Eric "Booty" Greene	2:56
"The Real"	L. Manson E. Greene	Black Ice	Eric "Booty" Greene	5:49
