No.	#	Title	Director	Writer(s)	Original air date	Prod. code	U.S. viewers (million)
66	1	"Ballrooms and Biscotti"	Amy Sherman-Palladino	Amy Sherman-Palladino	September23,2003	176151	5.2
67	2	"The Lorelais' First Day at Yale"	Chris Long	Daniel Palladino	September30,2003	176152	3.9
68	3	"The Hobbit, the Sofa and Digger Stiles"	Matthew Diamond	Amy Sherman-Palladino	October7,2003	176153	4.9
69	4	"Chicken or Beef?"	Chris Long	Jane Espenson	October14,2003	176154	5.5
70	5	"The Fundamental Things Apply"	Neema Barnette	John Stephens	October21,2003	176155	5.5
71	6	"An Affair to Remember"	Matthew Diamond	Amy Sherman-Palladino	October28,2003	176156	5.2
72	7	"The Festival of Living Art"	Chris Long	Daniel Palladino	November4,2003	176157	4.7
73	8	"Die, Jerk"	Tom Moore	Daniel Palladino	November11,2003	176158	4.9
74	9	"Ted Koppel's Big Night Out"	Jamie Babbit	Amy Sherman-Palladino	November18,2003	176159	5.2
75	10	"The Nanny and the Professor"	Peter Lauer	Scott Kaufer	January20,2004	176160	4.1
76	11	"In the Clamor and the Clangor"	Michael Grossman	Sheila R. Lawrence , Janet Leahy	January27,2004	176161	4.4
77	12	"A Family Matter"	Kenny Ortega	Daniel Palladino	February3,2004	176162	4.9
79	14	"The Incredible Sinking Lorelais"	Stephen Clancy	Amy Sherman-Palladino, Daniel Palladino	February17,2004	176164	4.8
80	15	"Scene in a Mall"	Chris Long	Daniel Palladino	February24,2004	176165	4.8
81	16	"The Reigning Lorelai"	Marita Grabiak	Jane Espenson	March2,2004	176166	5.0
82	17	"Girls in Bikinis, Boys Doin' The Twist"	Jamie Babbit	Amy Sherman-Palladino	April13,2004	176167	4.5
83	18	"Tick, Tick, Tick, Boom!"	Daniel Palladino	Daniel Palladino	April20,2004	176168	4.2
84	19	"Afterboom"	Michael Zinberg	Sheila R. Lawrence	April27,2004	176169	4.3
85	20	"Luke Can See Her Face"	Matthew Diamond	Amy Sherman-Palladino, Daniel Palladino	May4,2004	176170	4.2
86	21	"Last Week Fights, This Week Tights"	Chris Long	Daniel Palladino	May11,2004	176171	4.6
