Club	Played	Drawn	Lost	Points for	Points against	Tries For	Tries Against	Try Bonus	Losing Bonus	Points
Club	Played	Drawn	Lost	Points for	Points against	Tries For	Tries Against	Try Bonus	Losing Bonus	Points
Glyncoch RFC	18	0	2	521	155	76	15	7	0	71
Clwb Rygbi Cymru Caerdydd RFC	18	0	4	496	252	64	33	9	2	67
Llanrumney RFC	18	0	6	555	209	79	24	9	5	62
Cambrian Welfare RFC	18	0	6	514	202	74	22	7	3	58
Caerau Ely RFC	18	1	8	251	263	32	30	1	5	44
Ynysowen RFC	18	0	10	400	202	54	24	4	5	41
Cardiff Saracens RFC	18	1	11	247	347	35	42	4	3	33
Llandrindod Wells RFC	18	1	11	233	415	30	60	3	4	33
Aberavon Naval RFC	18	1	13	169	742	16	111	0	1	19
Pontrhydyfen RFC	18	0	17	170	769	19	118	1	4	9
Correct as of 5 August 2010	Correct as of 5 August 2010	Correct as of 5 August 2010	Correct as of 5 August 2010	Correct as of 5 August 2010	Correct as of 5 August 2010	Correct as of 5 August 2010	Correct as of 5 August 2010	Correct as of 5 August 2010	Correct as of 5 August 2010	Correct as of 5 August 2010
