Name	Pos.	Height	Weight	Date of Birth	Club
Georgios Reppas	GK	m (ft 2in)	kg (lb)	1974-12-11	N.C. Vouliagmeni
Anastasios Schizas	CF	m (ft 3in)	kg (lb)	1977-02-18	Olympiakos Piraeus
Dimitrios Mazis	CF	m (ft 0in)	kg (lb)	1976-09-05	N.C. Vouliagmeni
Konstantinos Loudis	CF	m (ft 0in)	kg (lb)	1969-03-24	Panionios G.C.
Theodoros Chatzitheodorou	CF	m (ft 3in)	kg (lb)	1976-10-01	Olympiakos Piraeus
Argyris Theodoropoulos	CF	m (ft 2in)	kg (lb)	1981-01-13	Olympiakos Piraeus
Christos Afroudakis	CF	m (ft 2in)	kg (lb)	1984-05-23	N.C. Vouliagmeni
Theodoros Kalakonas	D	m (ft 11in)	kg (lb)	1974-10-28	Olympiakos Piraeus
Georgios Afroudakis	CB	m (ft 4in)	kg (lb)	1976-10-17	N.C. Vouliagmeni
Stefanos Santa	D	m (ft 1in)	kg (lb)	1975-05-21	Panionios G.C.
Antonios Vlontakis	CB	m (ft 2in)	kg (lb)	1975-10-10	Ethnikos Piraeus
Nikolaos Deligiannis	GK	m (ft 3in)	kg (lb)	1976-09-03	Olympiakos Piraeus
Ioannis Thomakos	CF	m (ft 1in)	kg (lb)	1977-03-14	Olympiakos Piraeus
Head Coach: Alessandro Campagna	Head Coach: Alessandro Campagna	Head Coach: Alessandro Campagna	Head Coach: Alessandro Campagna	Head Coach: Alessandro Campagna	Head Coach: Alessandro Campagna
