Date	Episode	Performer 1	Performer 2	Performer 3	Performer 4
12 July 1996	1	Stephen Frost	Greg Proops	Colin Mochrie	Ryan Stiles
19 July 1996	2	Greg Proops	Rory Bremner	Colin Mochrie	Ryan Stiles
26 July 1996	3	Josie Lawrence	Caroline Quentin	Colin Mochrie	Ryan Stiles
2 August 1996	4	Stephen Frost	Caroline Quentin	Colin Mochrie	Ryan Stiles
9 August 1996	5	Greg Proops	Niall Ashdown	Colin Mochrie	Ryan Stiles
16 August 1996	6	Greg Proops	Caroline Quentin	Colin Mochrie	Ryan Stiles
23 August 1996	7	Greg Proops	Ardal O'Hanlon	Colin Mochrie	Ryan Stiles
30 August 1996	8	Stephen Frost	Greg Proops	Colin Mochrie	Ryan Stiles
6 September 1996	9	Niall Ashdown	Stephen Frost	Colin Mochrie	Ryan Stiles
13 September 1996	10	Stephen Frost	Josie Lawrence	Colin Mochrie	Ryan Stiles
20 September 1996	11	Greg Proops	Rory Bremner	Colin Mochrie	Ryan Stiles
27 September 1996	12	Josie Lawrence	Caroline Quentin	Colin Mochrie	Ryan Stiles
6 December 1996	13	Compilation 1	Compilation 1	Compilation 1	Compilation 1
13 December 1996	14	Compilation 2	Compilation 2	Compilation 2	Compilation 2
