Date	Visitor	Score	Home	Decision	Attendance	Record
December 1	Washington	2 - 1	Florida	Johnson	14,333	9-16-2
December 7	Washington	2 - 3	New Jersey	Kolzig	16,265	9-17-2
December 8	Atlanta	3 - 6	Washington	Kolzig	14,014	10-17-2
December 10	New Jersey	2 - 3	Washington	Kolzig	10,719	11-17-2
December 12	NY Rangers	4 - 5	Washington	Kolzig	12,553	12-17-2
December 14	Buffalo	5 - 3	Washington	Kolzig	17,035	12-18-2
December 15	Washington	3 - 2	Tampa Bay	Johnson	18,367	13-18-2
December 17	Washington	3 - 4	Detroit	Kolzig	19,483	13-18-3
December 20	Montreal	5 - 2	Washington	Kolzig	12,670	13-19-3
December 22	Washington	2 - 3	NY Islanders	Kolzig	14,305	13-19-4
December 26	Tampa Bay	2 - 3	Washington	Kolzig	15,035	14-19-4
December 27	Washington	3 - 4	Pittsburgh	Johnson	17,132	14-19-5
December 29	Washington	8 - 6	Ottawa	Kolzig	20,296	15-19-5
