Name	Team	Qual 1	Qual 2	Best
Sébastien Bourdais	Newman/Haas Racing	50.160	48.989	48.989
Paul Tracy	Forsythe Racing	50.156	49.810	49.810
A. J. Allmendinger	Forsythe Racing	50.246	49.264	49.264
Cristiano da Matta	RuSPORT	50.734	49.659	49.659
Oriol Servià	PKV Racing	50.388	49.813	49.813
Will Power	Team Australia	—	49.867	49.867
Bruno Junqueira	Newman/Haas Racing	50.587	49.887	49.887
Andrew Ranger	Mi-Jack Conquest Racing	50.925	49.962	49.962
Dan Clarke	CTE Racing-HVM	50.278	50.161	50.161
Mario Domínguez	Dale Coyne Racing	50.861	50.215	50.215
Nelson Philippe	CTE Racing-HVM	50.440	50.312	50.312
Justin Wilson	RuSPORT	50.504	50.341	50.341
Alex Tagliani	Team Australia	50.373	—	50.373
Charles Zwolsman	Mi-Jack Conquest Racing	51.004	50.435	50.435
Katherine Legge	PKV Racing	51.329	50.473	50.473
Jan Heylen	Dale Coyne Racing	51.591	50.838	50.838
Nicky Pastorelli	Rocketsports Racing	52.344	51.628	51.628
