Date	Venue	Score	Result	Competition
10 March 1984	Royal Oman Police Stadium , Muscat	1–0	2–0	1984 Gulf Cup
12 March 1984	Royal Oman Police Stadium, Muscat	1–0	1–0	1984 Gulf Cup
4 December 1984	National Stadium , Singapore	1–0	2–0	1984 Asian Cup
20 September 1985	Al-Rashid Stadium , Dubai	1–1	2–3	1986 World Cup qualification
20 September 1985	Al-Rashid Stadium, Dubai	2–3	2–3	1986 World Cup qualification
27 September 1985	King Fahd Stadium , Taif	2–0	2–1	1986 World Cup qualification
24 March 1986	Bahrain National Stadium , Manama	2–2	2–2	1986 Gulf Cup
2 April 1986	Bahrain National Stadium, Manama	2–0	2–0	1986 Gulf Cup
7 April 1986	Bahrain National Stadium, Manama	2–0	2–3	1986 Gulf Cup
17 March 1988	King Fahd International Stadium , Riyadh	1–0	1–0	1988 Gulf Cup
10 February 1989	Islamabad	3–0	4–1	1990 World Cup qualification
17 October 1989	National Stadium, Singapore	2–1	2–1	1990 World Cup qualification
28 October 1989	Darul Makmur Stadium , Kuantan	1–1	1–1	1990 World Cup qualification
3 November 1994	Zayed Sports City Stadium , Abu Dhabi	1–0	2–0	1994 Gulf Cup
9 November 1994	Zayed Sports City Stadium, Abu Dhabi	2–0	2–0	1994 Gulf Cup
22 October 1996	Sultan Qaboos Sports Complex , Muscat	2–1	2–1	1996 Gulf Cup
7 December 1996	Zayed Sports City Stadium, Abu Dhabi	2–2	3–2	1996 Asian Cup
10 December 1996	Zayed Sports City Stadium, Abu Dhabi	2–0	2–0	1996 Asian Cup
26 April 1997	Sharjah Stadium , Sharjah	1–0	2–0	1998 World Cup qualification
27 September 1997	Zayed Sports City Stadium, Abu Dhabi	3–1	3–2	1998 World Cup qualification
17 December 1997	King Fahd International Stadium, Riyadh	1–6	1–6	1997 Confederations Cup
