Nr.	District	Former Name	Area ( ha )	Population (2005)	No. of villages	Density persons / ha
1	Aiwo	Aiue	100	1092	8	10.9
2	Anabar	Anebwor	143	502	15	3.5
3	Anetan	Añetañ	100	516	12	5.2
4	Anibare	Anybody	314	160	17	0.5
5	Baiti	Beidi	123	572	15	4.7
6	Boe	Boi	66	795	4	12.0
7	Buada	Arenibok	266	716	14	2.7
8	Denigomodu	Denikomotu	118	2827	17	24.0
9	Ewa	Eoa	117	318	12	2.7
10	Ijuw	Ijub	112	303	13	2.7
11	Meneng	Meneñ	288	1830	18	6.4
12	Nibok	Ennibeck	136	432	11	3.2
13	Uaboe	Ueboi	97	335	6	3.5
14	Yaren	Moqua	150	820	7	5.5
