Pick	Player	Team	Position	Hometown/School
1	Harold Baines	Chicago White Sox	OF	St. Michaels, Maryland
2	Bill Gullickson	Montreal Expos	RHP	Orland Park, IL
3	Paul Molitor	Milwaukee Brewers	SS	University of Minnesota
4	Tim Cole	Atlanta Braves	LHP	Saugerties, NY
5	Kevin Richards	Detroit Tigers	RHP	Wyandotte, MI
6	Terry Kennedy	St. Louis Cardinals	C	Florida State University
7	Richard Dotson	California Angels	RHP	Cincinnati, OH
8	Brian Greer	San Diego Padres	OF	Brea, CA
9	David Hibner	Texas Rangers	SS	Howell, MI
10	Craig Landis	San Francisco Giants	SS	Napa, CA
11	Bruce Compton	Cleveland Indians	OF	Norman, OK
12	Randy Martz	Chicago Cubs	RHP	University of South Carolina
13	Andrew Madden	Boston Red Sox	RHP	New Hartford, NY
14	Ricky Adams	Houston Astros	SS	Montclair, CA
15	Paul Croft	Minnesota Twins	OF	Morristown, NJ
16	Wally Backman	New York Mets	SS	Beaverton, OR
17	Craig Harris	Oakland Athletics	RHP	Sierra Vista, AZ
18	Anthony Nicely	Pittsburgh Pirates	OF	Dayton, OH
19	Drungo Hazewood	Baltimore Orioles	OF	Sacramento, CA
20	Bob Welch	Los Angeles Dodgers	RHP	Eastern Michigan University
21	Mike Jones	Kansas City Royals	LHP	Pittsford, NY
22	Scott Munninghoff	Philadelphia Phillies	RHP	Cincinnati, OH
23	Steve Taylor	New York Yankees	RHP	University of Delaware
24	Tad Venger	Cincinnati Reds	3B	Newhall, CA
25	Tom Goffena	Toronto Blue Jays	SS	Sidney, OH
26	Dave Henderson	Seattle Mariners	OF	Dos Palos, CA
