Year	Team	Co-Drivers	Class	Laps	Pos.	Class Pos.
1999	Panoz Motorsports	Johnny O'Connell Max Angelelli	LMP	323	11th	9th
2000	Panoz Motorsports	David Brabham Mario Andretti	LMP900	315	15th	8th
2001	Panoz Motorsports	David Brabham Franck Lagorce	LMP900	85	DNF	DNF
2002	Panoz Motor Sports	David Brabham Bryan Herta	LMP900	90	DNF	DNF
2003	Audi Sport Japan Team Goh	Seiji Ara Marco Werner	LMP900	370	4th	2nd
2004	Corvette Racing	Oliver Gavin Olivier Beretta	GTS	345	6th	1st
2005	Corvette Racing	Oliver Gavin Olivier Beretta	GT1	349	5th	1st
2006	Corvette Racing	Oliver Gavin Olivier Beretta	GT1	355	4th	1st
2007	Corvette Racing	Johnny O'Connell Ron Fellows	GT1	342	6th	2nd
2008	Corvette Racing	Johnny O'Connell Ron Fellows	GT1	344	14th	2nd
2009	Corvette Racing	Johnny O'Connell Antonio García	GT1	342	15th	1st
2010	Corvette Racing	Johnny O'Connell Antonio García	GT2	225	DNF	DNF
2011	Corvette Racing	Oliver Gavin Richard Westbrook	GTE Pro	211	DNF	DNF
2012	Corvette Racing	Antonio García Jordan Taylor	GTE Pro	326	23rd	5th
