Municipality	Population	Inhabitants per km²	Area (in km²)	Markatal	Island	Region
Tórshavnar kommuna	19.339	112	173	327	Streymoy	Tórshavn
Klaksvík	4.886	57	86	144	Streymoy	Klaksvík
Runavík	3.678	47	78	150	Eysturoy	Southern Eysturoy
Tvøroyri	1.819	42	43	60	Suðuroy	Suðuroy
Fuglafjørður	1.584	70	23	32	Eysturoy	Northern Eysturoy
Sunda Kommuna	1.564	10	158	152	Eysturoy	Northern Eysturoy
Vágur	1.402	67	21	61	Suðuroy	Suðuroy
Nes	1.238	88	14	40	Eysturoy	Southern Eysturoy
Vestmanna	1.234	24	52	56	Streymoy	Streymoy
Miðvágur	1.100	24	47	48	Vágar	Vágar
Sørvágur	1.071	13	84	124	Vágar	Vágar
Gøtu Kommuna	1.066	35	31	69	Eysturoy	Southern Eysturoy
Sjóvar Kommuna	1.027	31	33	70	Eysturoy	Southern Eysturoy
Leirvík	873	79	11	33	Eysturoy	Southern Eysturoy
Sandavágur	797	13	61	48	Vágar	Vágar
Hvalba	765	19	40	99	Suðuroy	Suðuroy
Eiði	705	19	37	49	Eysturoy	Northern Eysturoy
Kvívík	615	13	49	75	Streymoy	Streymoy
Sandur	586	12	48	97	Sandoy	Sandoy
Skopun	507	56	9	0	Sandoy	Sandoy
Hvannasund	441	13	33	38	Viðoy and Borðoy	Klaksvík
Sumba	383	15	25	64	Suðuroy	Suðuroy
Viðareiði	339	11	30	48	Viðoy	Norðoyggjar
Porkeri	333	24	14	37	Suðuroy	Suðuroy
Skálavík	183	6	29	24	Sandoy	Sandoy
Kunoy	157	4	35	65	Kunoy	Norðoyggjar
Húsavík	131	5	26	66	Sandoy	Sandoy
Hov	125	12	10	24	Suðuroy	Suðuroy
Fámjin	113	9	13	24	Suðuroy	Suðuroy
Funningur	75	4	18	15	Eysturoy	Northern Eysturoy
Húsar	61	4	16	41	Kalsoy	Norðoyggjar
Skúvoy	57	4	13	73	Skúvoy	Sandoy
Svínoy	52	2	27	23	Svínoy	Norðoyggjar
Fugloy	44	4	11	14	Fugloy	Norðoyggjar
