Game	December	Opponent	Score	Record
23	1	Buffalo Sabres	7 - 2	16-3-4
24	4	@ Pittsburgh Penguins	4 - 2	16-4-4
25	5	Vancouver Canucks	6 - 3	17-4-4
26	8	@ Chicago Black Hawks	2 - 2	17-4-5
27	9	@ Philadelphia Flyers	5 - 0	18-4-5
28	12	Pittsburgh Penguins	6 - 1	19-4-5
29	15	Philadelphia Flyers	6 - 2	20-4-5
30	16	@ Boston Bruins	8 - 1	20-5-5
31	18	@ St. Louis Blues	5 - 2	21-5-5
32	19	Minnesota North Stars	1 - 1	21-5-6
33	22	Pittsburgh Penguins	4 - 2	22-5-6
34	25	@ Minnesota North Stars	2 - 1	23-5-6
35	26	Montreal Canadiens	5 - 1	24-5-6
36	29	Philadelphia Flyers	5 - 1	25-5-6
