Date	Round	Opponent	Venue	Result	Attendance
16 September 1970	R1	Aris Salonika	A	1-1	50,000
30 September 1970	R1	Aris Salonika	H	5-1	40,425
21 October 1970	R2	CSKA Sofia	A	1-0	45,000
4 November 1970	R2	CSKA Sofia	H	1-0	41,613
10 March 1971	QF	Club Brugge	A	0-2	23,000
24 March 1971	QF	Club Brugge	H	4-0 ( a.e.t. )	45,558
14 April 1971	SF	Manchester City	H	1-0	45,595
28 April 1971	SF	Manchester City	A	1-0	43,663
19 May 1971	F	Real Madrid	N	1-1 ( a.e.t. )	45,000
21 May 1971	F	Real Madrid	N	2-1	24,000
