Institution	Main Campus Location	Founded	Mascot	School Colors
Allen Community College	Iola	1923	Red Devils	Scarlet & Black
Coffeyville Community College	Coffeyville	1923	Red Ravens	Red & White
Cowley College	Arkansas City	1922	Tigers	Orange & Black
Fort Scott Community College	Fort Scott	1919	Greyhounds	Maroon & Grey
Highland Community College	Highland	1858	Scotties	Navy & Gold
Independence Community College	Independence	1925	Pirates	Navy Blue & Vegas Gold
Johnson County Community College	Overland Park	1967	Cavaliers	Maroon & Gold
Kansas City Kansas Community College	Kansas City	1923	Blue Devils	Blue, Red & White
Labette Community College	Parsons	1923	Cardinals	Red & White
Neosho County Community College	Chanute	1936	Panthers	Orange & Black
