Driver	Constructor	Laps	Time/Retired	Grid
Mario Andretti	Lotus - Ford	80	1:51:35.470	2
Niki Lauda	Ferrari	80	+ 0.773 s	1
Jody Scheckter	Wolf - Ford	80	+ 4.857 s	3
Patrick Depailler	Tyrrell - Ford	80	+ 1:14.487	12
Emerson Fittipaldi	Fittipaldi - Ford	80	+ 1:20.908	7
Jean-Pierre Jarier	Penske - Ford	79	+ 1 Lap	9
James Hunt	McLaren - Ford	79	+ 1 Lap	8
Gunnar Nilsson	Lotus - Ford	79	+ 1 Lap	16
Jacques Laffite	Ligier - Matra	78	Electrical	5
Brian Henton	March - Ford	77	+ 3 Laps	18
Hans Binder	Surtees - Ford	77	+ 3 Laps	19
Ronnie Peterson	Tyrrell - Ford	62	Fuel System	10
Clay Regazzoni	Ensign - Ford	57	Gearbox	13
Hans Joachim Stuck	Brabham - Alfa Romeo	53	Brakes	17
Alan Jones	Shadow - Ford	40	Gearbox	14
Jochen Mass	McLaren - Ford	39	Handling	15
John Watson	Brabham - Alfa Romeo	33	Illegal push start	6
Renzo Zorzi	Shadow - Ford	27	Gearbox	20
Alex Ribeiro	March - Ford	15	Gearbox	22
Carlos Reutemann	Ferrari	5	Accident	4
Brett Lunger	March - Ford	4	Accident	21
Vittorio Brambilla	Surtees - Ford	0	Accident	11
