Pick #	MLS team	Player	Position	Affiliation
41	D.C. United	John Swann	D	Indiana University
42	MetroStars	* Jacob LeBlanc	M	University of Virginia
43	Kansas City Wizards	Jack Jewsbury	M	St. Louis University
44	Chicago Fire	Chad Dombrowski	D	University of Wisconsin–Milwaukee
45	Dallas Burn	Michael Mariscalco	M	Butler University
46	San Jose Earthquakes	Johanes Maliza	M	Stanford University
47	Columbus Crew	Guy Abrahamson	M	Rutgers University
48	Colorado Rapids	Casey Schmidt	F	Boston College
49	MetroStars	Marco Vélez	M	Barry University
50	Los Angeles Galaxy	Jimmy Frazelle	M	UCLA
