No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (millions)
73/74	1/2	" Weight Loss "‡	Paul Feig	Lee Eisenberg & Gene Stupnitsky	September25,2008	5001/5002	9.20
75	3	" Business Ethics "	Jeffrey Blitz	Ryan Koh	October9,2008	5003	8.99
76	4	" Baby Shower "	Greg Daniels	Aaron Shure	October16,2008	5004	8.07
77	5	" Crime Aid "	Jennifer Celotta	Charlie Grandy	October23,2008	5005	7.74
78	6	" Employee Transfer "	David Rogers	Anthony Q. Farrell	October30,2008	5006	9.32
79	7	" Customer Survey "	Stephen Merchant	Lester Lewis	November6,2008	5007	8.35
80	8	" Business Trip "	Randall Einhorn	Brent Forrester	November13,2008	5009	8.18
81	9	" Frame Toby "	Jason Reitman	Mindy Kaling	November20,2008	5008	8.40
82	10	" The Surplus "	Paul Feig	Gene Stupnitsky & Lee Eisenberg	December4,2008	5013	8.33
83	11	" Moroccan Christmas "	Paul Feig	Justin Spitzer	December11,2008	5010	8.79
84	12	" The Duel "	Dean Holland	Jennifer Celotta	January15,2009	5011	8.50
85	13	" Prince Family Paper "	Asaad Kelada	B. J. Novak	January22,2009	5012	8.74
86/87	14/15	" Stress Relief "‡	Jeffrey Blitz	Paul Lieberstein	February1,2009	5016/5017	22.91
88	16	" Lecture Circuit: Part 1 "	Ken Kwapis	Mindy Kaling	February5,2009	5014	8.39
89	17	" Lecture Circuit: Part 2 "	Ken Kwapis	Mindy Kaling	February12,2009	5015	8.89
90	18	" Blood Drive "	Randall Einhorn	Brent Forrester	March5,2009	5018	8.63
91	19	" Golden Ticket "	Randall Einhorn	Mindy Kaling	March12,2009	5019	7.51
92	20	" New Boss "	Paul Feig	Lee Eisenberg & Gene Stupnitsky	March19,2009	5020	7.95
93	21	" Two Weeks "	Paul Lieberstein	Aaron Shure	March26,2009	5021	8.45
94	22	" Dream Team "	Paul Feig	B. J. Novak	April9,2009	5022	7.20
95	23	" Michael Scott Paper Company "	Gene Stupnitsky	Justin Spitzer	April9,2009	5023	7.94
96	24	" Heavy Competition "	Ken Whittingham	Ryan Koh	April16,2009	5024	8.24
97	25	" Broke "	Steve Carell	Charlie Grandy	April23,2009	5025	7.21
98	26	" Casual Friday "	Brent Forrester	Anthony Q. Farrell	April30,2009	5026	7.31
99	27	" Cafe Disco "	Randall Einhorn	Warren Lieberstein & Halsted Sullivan	May7,2009	5027	7.71
