R	Player	Scottish Premier League	Scottish Cup	Scottish League Cup	Champions League (qualifying)	Europa League	Total
1	Robbie Keane	12	0	4	0	0	16
2	Scott McDonald	10	2	0	1	1	14
3	Georgios Samaras	10	0	0	1	2	13
4	Marc-Antoine Fortuné	10	0	0	0	2	12
5	Aiden McGeady	7	0	0	0	0	7
6	Shaun Maloney	4	0	0	0	0	4
11	Patrick McCourt	2	0	1	0	0	3
11	Niall McGinn	2	1	0	0	0	3
11	Glenn Loovens	3	0	0	0	0	3
11	Josh Thompson	3	0	0	0	0	3
11	Diomansy Kamara	2	1	0	0	0	3
12	Morten Rasmussen	2	0	0	0	0	2
18	Paul McGowan	0	0	0	0	1	1
18	Scott Brown	1	0	0	0	0	1
18	Darren O'Dea	1	0	0	0	0	1
18	James Forrest	1	0	0	0	0	1
18	Lee Naylor	1	0	0	0	0	1
