Game	Date	Team	Score	High points	High rebounds	Location Attendance	Record
32	January 2	@ New York	W 105–103 (OT)	Jarrett Jack (29)	Troy Murphy (18)	Madison Square Garden 19,763	11–21
33	January 3	Sacramento	W 122–117 (OT)	Danny Granger (35)	Troy Murphy (13)	Conseco Fieldhouse 12,765	12–21
34	January 5	@ Denver	L 115–135 (OT)	Danny Granger (36)	Troy Murphy (12)	Pepsi Center 14,255	12–22
35	January 7	@ Phoenix	W 113–110 (OT)	Danny Granger (37)	Jeff Foster (9)	US Airways Center 18,422	13–22
36	January 9	@ L.A. Lakers	L 119–121 (OT)	Danny Granger (28)	Troy Murphy (6)	Staples Center 18,997	13–23
37	January 11	@ Golden State	L 117–120 (OT)	Danny Granger (42)	Jeff Foster (12)	Oracle Arena 18,262	13–24
38	January 12	@ Utah	L 113–120 (OT)	Danny Granger (30)	Troy Murphy (10)	EnergySolutions Arena 19,911	13–25
39	January 14	Detroit	W 110–106 (OT)	Danny Granger (24)	Troy Murphy (13)	Conseco Fieldhouse 11,964	14–25
40	January 16	Toronto	W 111–104 (OT)	Danny Granger (23)	Troy Murphy (15)	Conseco Fieldhouse 13,234	15–25
41	January 19	@ New Orleans	L 100–103 (OT)	Danny Granger (30)	Troy Murphy (11)	New Orleans Arena 17,237	15–26
42	January 20	@ San Antonio	L 81–99 (OT)	Danny Granger (17)	Troy Murphy (10)	AT&T Center 18,181	15–27
43	January 23	Houston	W 107–102 (OT)	Danny Granger (25)	Troy Murphy (16)	Conseco Fieldhouse 14,486	16–27
44	January 25	Charlotte	W 98–93 (OT)	Danny Granger (27)	Troy Murphy (14)	Conseco Fieldhouse 10,936	17–27
45	January 27	@ Orlando	L 111–135 (OT)	T. J. Ford (23)	Troy Murphy (7)	Amway Arena 17,461	17–28
46	January 28	Milwaukee	W 107–99 (OT)	T. J. Ford (34)	Troy Murphy (13)	Conseco Fieldhouse 12,143	18–28
47	January 30	Miami	W 114–103 (OT)	Mike Dunleavy, Jr. (30)	Troy Murphy (12)	Conseco Fieldhouse 14,031	19–28
48	January 31	New York	L 113–122 (OT)	T. J. Ford (36)	Troy Murphy (11)	Conseco Fieldhouse 15,067	19–29
