Place	Player	Country	Score	To par	Money ( $ )
1	Ben Hogan	United States	67-72-68-69=276	–8	2,000
2	Jimmy Demaret	United States	71-70-68-69=278	–6	1,500
3	Jim Turnesa	United States	71-69-70-70=280	–4	1,000
4	Bobby Locke	South Africa	70-69-73-70=282	–2	800
5	Sam Snead	United States	69-69-73-72=283	–1	600
6	Lew Worsham	United States	67-74-71-73=285	+1	500
7	Herman Barron	United States	73-70-71-72=286	+2	400
T8	Johnny Bulla	United States	73-72-75-67=287	+3	300
T8	Toney Penna	United States	70-72-73-72=287	+3	300
T8	Smiley Quick	United States	73-71-69-74=287	+3	300
