Player	Date of Birth	Batting Style	Bowling Style	First Class Team
Hansie Cronje (captain)	25 September 1969	Right hand bat	Right arm medium	Free State
Dale Benkenstein	9 June 1974	Right hand bat	Right arm medium Right arm off break	KwaZulu-Natal
Nicky Boje	20 March 1973	Left hand bat	Left arm orthodox spin	Free State
Mark Boucher (wicket-keeper)	3 December 1976	Right hand bat	Wicket-keeper	Border
Derek Crookes	5 March 1969	Right hand bat	Right arm off break	Gauteng
Daryll Cullinan	4 March 1967	Right hand bat	Right arm off break	Gauteng
Alan Dawson	27 November 1969	Right hand bat	Right arm fast-medium	Western Province
Steve Elworthy	23 February 1965	Right hand bat	Right arm fast-medium	Northerns
Jacques Kallis	16 October 1975	Right hand bat	Right arm fast-medium	Western Province
Gary Kirsten	23 November 1967	Left hand bat	Right arm off break	Western Province
Makhaya Ntini	6 July 1977	Right hand bat	Right arm fast	Border
Shaun Pollock	16 July 1973	Right hand bat	Right arm fast-medium	KwaZulu-Natal
Jonty Rhodes	27 July 1969	Right hand bat	Right arm medium	KwaZulu-Natal
Pat Symcox	14 April 1960	Right hand bat	Right arm off break	Griqualand West
Source:	Source:	Source:	Source:	Source:
