Year	Entrant	Class	Chassis	Engine	Tyres	Rank	Points
1999	Audi Sport Team Joest	LMP	Audi R8R	Audi 3.6L Turbo V8	M	52nd	20
2000	Audi Sport North America	LMP	Audi R8	Audi 3.6L Turbo V8	M	3rd	232
2000	Audi Sport North America	LMP	Audi R8R	Audi 3.6L Turbo V8	M	3rd	232
2001	Audi Sport North America	LMP900	Audi R8	Audi 3.6L Turbo V8	M	1st	202
2002	Audi Sport North America	LMP900	Audi R8	Audi 3.6L Turbo V8	M	4th	206
2003	ADT Champion Racing	LMP900	Audi R8	Audi 3.6L Turbo V8	M	18th	22
2004	ADT Champion Racing	LMP1	Audi R8	Audi 3.6L Turbo V8	M	13th	22
2005	ADT Champion Racing	LMP1	Audi R8	Audi 3.6L Turbo V8	M	1st	182
2006	Audi Sport North America	LMP1	Audi R10 TDI	Audi 5.5L Turbo V12 ( Diesel )	M	5th	80
2007	Audi Sport North America	LMP1	Audi R10 TDI	Audi 5.5L Turbo V12 ( Diesel )	M	4th	175
2008	Audi Sport North America	LMP1	Audi R10 TDI	Audi 5.5L Turbo V12 ( Diesel )	M	3rd	156
2010	Drayson Racing	LMP1	Lola B09/60	Judd GV5.5 S2 5.5L V10	M	12th	46
