Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	Real Gijón CF	38	62	28	6	4	107	26	+81
2	CD Sabadell CF	38	54	24	6	8	92	39	+53
3	SD Indauchu	38	48	21	6	11	72	45	+27
4	Real Oviedo	38	46	20	6	12	77	60	+17
5	Deportivo Alavés	38	43	17	9	12	61	52	+9
6	Cultural Leonesa	38	41	18	5	15	63	61	+2
7	Real Avilés CF	38	39	17	5	16	75	60	+15
8	Real Santander	38	37	15	7	16	60	62	-2
9	Gerona CF	38	37	15	7	16	54	53	+1
10	SD Eibar	38	36	14	8	16	63	79	-16
11	Caudal Deportivo	38	35	16	3	19	66	72	-6
12	AD Rayo Vallecano	38	35	15	5	18	45	45	0
13	CD Tarrasa	38	34	13	8	17	57	60	-3
14	Club Sestao	38	34	13	8	17	60	67	-7
15	CP La Felguera	38	34	15	4	19	46	62	-16
16	Club Ferrol	38	33	14	5	19	51	72	-21
17	CD Logroñés	38	32	12	8	18	44	70	-26
18	Baracaldo AH	38	31	12	7	19	50	83	-33
19	Burgos CF	38	30	11	8	19	46	65	-19
20	UD Lérida	38	19	8	3	27	37	93	-56
