Place	Player	Country	Score	To Par	Money ( $ )
T1	Byron Nelson	United States	72-73-71-68=284	+8	Playoff
T1	Craig Wood	United States	70-71-71-72=284	+8	Playoff
T1	Denny Shute	United States	70-72-70-72=284	+8	Playoff
4	Bud Ward (a)	United States	69-73-71-72=285	+9	0
5	Sam Snead	United States	68-71-73-74=286	+10	600
6	Johnny Bulla	United States	72-71-68-76=287	+11	450
T7	Ralph Guldahl	United States	71-73-72-72=288	+12	325
T7	Dick Metz	United States	76-72-71-69=288	+12	325
T9	Ky Laffoon	United States	76-70-73-70=289	+13	175
T9	Harold McSpaden	United States	70-73-71-75=289	+13	175
T9	Paul Runyan	United States	76-70-71-72=289	+13	175
