Pos	Club	Games played	Red/Yellow cards	Positive play	Respect toward opponents	Respect toward referee	Behaviour of team officials	Points	Score	Average
1	Manchester United	38	332	325	223	226	206	1312	328.00	8.63
2	Newcastle United	38	325	318	217	218	200	1278	319.50	8.41
3	Chelsea	38	314	306	213	221	200	1254	313.50	8.25
4	Liverpool	38	324	301	224	225	180	1254	313.50	8.25
5	Manchester City	38	310	288	224	231	194	1247	311.75	8.20
6	Arsenal	38	315	319	214	212	180	1240	310.00	8.16
7	Middlesbrough	38	318	290	224	229	173	1234	308.50	8.12
8	Blackburn Rovers	38	307	292	219	222	178	1218	304.50	8.01
9	Aston Villa	38	304	283	212	218	201	1218	304.50	8.01
10	Everton	38	304	293	217	214	185	1213	303.25	7.98
11	Sunderland	38	314	255	220	226	196	1211	302.75	7.97
12	Fulham	38	304	284	203	211	203	1205	301.25	7.93
13	Leeds United	38	304	290	206	210	194	1204	301.00	7.92
14	West Bromwich Albion	38	316	273	219	214	181	1203	300.75	7.91
15	Southampton	38	323	282	221	220	154	1200	300.00	7.89
16	Tottenham Hotspur	38	309	291	215	207	174	1196	299.00	7.87
17	West Ham United	38	298	281	211	212	191	1193	298.25	7.85
18	Charlton Athletic	38	316	270	210	214	177	1187	296.75	7.81
19	Bolton Wanderers	38	299	279	218	217	161	1174	293.50	7.72
