Year	Role	Author	Radio Station/Production Company	Release/Air Date
1976	Sarah Jane Smith	Bernard Venables	BBC Radio 4	4 October 1976
1976	Sarah Jane Smith	Victor Pemberton	BBC Audio	July 1976 (LP Release)
1993	Sarah Jane Smith	Barry Letts	BBC Radio 5	27 August 1993 - 24 September 1993
1994	Cast member	Chris Allen	BBC Radio 4	30 March 1994
1996	Sarah Jane Smith	Barry Letts	BBC Radio 2	20 January - 24 February 1996
1998	Ninan-ashtammu	Kate Orman	Big Finish Productions	20 January - November 1998
2001	Interviewee & monologues	Sadie Miller & Mark J Thompson	MJTV	November 2001
2002	Sarah Jane Smith	Terrance Dicks	Big Finish Productions	31 May 2002
2002	Sarah Jane Smith	Barry Letts	Big Finish Productions	8 August 2002
2002	Sarah Jane Smith	David Bishop	Big Finish Productions	5 September 2002
2002	Sarah Jane Smith	Rupert Laight	Big Finish Productions	10 October 2002
2002	Sarah Jane Smith	Peter Anghelides	Big Finish Productions	7 November 2002
2003	Miss Lime	Alan Barnes & Gary Russell	Big Finish Productions	20 January - November 2003
2005	Narrator	Michael Stevens	AudioGO Ltd	19 January 2005
2005	Narrator	Michael Stevens	AudioGO Ltd	29 April 2005
2005	Narrator	Michael Stevens	AudioGO Ltd	24 October 2005
2006	Sarah Jane Smith	David Bishop	Big Finish Productions	January 2006
2006	Sarah Jane Smith	David Bishop	Big Finish Productions	February 2006
2006	Sarah Jane Smith	David Bishop	Big Finish Productions	March 2006
2006	Sarah Jane Smith	David Bishop	Big Finish Productions	April 2006
2007	Narrator	Andrew Pixley	BBC Audiobooks	17 September 2007
2007	Narrator	Stephen Cole	BBC Audiobooks	5 November 2007
2007	Narrator	Justin Richards	BBC Audiobooks	5 November 2007
2008	Narrator	Peter Anghelides	BBC Audiobooks	13 November 2008
2008	Narrator	Stephen Cole	BBC Audiobooks	3 November 2008
2009	Narrator	Gary Russell	BBC Audiobooks	4 June 2009
2009	Narrator	Terrance Dicks	BBC Audiobooks	3 September 2009
2009	Narrator	Scott Handcock	BBC Audiobooks	3 September 2009
2010	Narrator	Andrew Pixley	BBC Audiobooks	4 February 2010
2010	Narrator	Cavan Scott & Mark Wright	BBC Audiobooks	7 October 2010
2010	Narrator	Jason Arnopp	BBC Audiobooks	7 October 2010
