Quarterback	Uniform No(s)	Games Started	Wins	Losses	Ties	Winning Pct.
Sipe, Brian	17	112	57	55	0	.589
Kosar, Bernie	19	105	53	51	1	.595
Ryan, Frank	13	76	52	22	2	.697
Graham, Otto	60,14	71	57	13	1	.810
Couch, Tim	2	59	22	37	0	.373
Nelsen, Bill	16	51	34	16	1	.676
Phipps, Mike	15	51	24	25	2	.490
Plum, Milt	16	51	33	16	2	.667
Anderson, Derek	3	34	16	18	0	.471
Testaverde, Vinny	12	31	16	15	0	.516
McDonald, Paul	16	21	8	13	0	.381
McCoy, Colt	12	21	6	15	0	.286
Frye, Charlie	9	19	6	13	0	.316
Weeden, Brandon	3	19	5	14	0	.263
O'Connell, Tommy	15	14	10	3	1	.750
Holcomb, Kelly	10	12	4	8	0	.333
Quinn, Brady	10	12	3	9	0	.250
Ninowski, Jim	15,11	11	5	6	0	.455
Dilfer, Trent	8	11	4	7	0	.364
Garcia, Jeff	5	10	3	7	0	.300
Danielson, Gary	18	8	5	3	0	.625
Tomczak, Mike	18	8	4	4	0	.500
Pederson, Doug	18	8	1	7	0	.125
Pagel, Mike	10	7	2	5	0	.286
Wallace, Seneca	6	7	1	6	0	.143
Ratterman, George	12,16	5	2	3	0	.400
Philcox, Todd	17	5	2	3	0	.400
Delhomme, Jake	17	4	2	2	0	.500
Mays, Dave	10	4	1	3	0	.250
Zeier, Eric	10	4	1	3	0	.250
McCown, Luke	12	4	0	4	0	.000
Parilli, Babe	18	3	1	2	0	.333
Rypien, Mark	11	3	2	1	0	.667
Dorsey, Ken	11	3	0	3	0	.000
Hoyer, Brian	6	3	3	0	0	1.000
Strock, Don	12	2	2	0	0	1.000
Christensen, Jeff	11	2	1	1	0	.500
Detmer, Ty	11	2	0	2	0	.000
Campbell, Jason	17	2	1	1	0	.500
Gault, Don	11	1	1	0	0	1.000
Lane, Gary	15	1	0	1	0	.000
Dawson, Len	18	1	1	0	0	1.000
Wynn, Spergon	13	1	0	1	0	.000
Luck, Terry	7	1	0	1	0	.000
Cureton, Will	16	1	0	1	0	.000
Gradkowski, Bruce	7	1	0	1	0	.000
Lewis, Thaddeus	9	1	0	1	0	.000
