Round	Date	Grand Prix	Circuit	125cc winner	250cc winner	MotoGP winner	Report
1	9 March	Qatar Grand Prix ‡	Losail	Sergio Gadea	Mattia Pasini	Casey Stoner	Report
2	30 March	Spanish Grand Prix	Jerez	Simone Corsi	Mika Kallio	Dani Pedrosa	Report
3	13 April	Portuguese Grand Prix	Estoril	Simone Corsi	Álvaro Bautista	Jorge Lorenzo	Report
4	4 May	Chinese Grand Prix	Shanghai	Andrea Iannone	Mika Kallio	Valentino Rossi	Report
5	18 May	French Grand Prix	Le Mans	Mike di Meglio	Alex Debón	Valentino Rossi	Report
6	1 June	Italian Grand Prix	Mugello	Simone Corsi	Marco Simoncelli	Valentino Rossi	Report
7	8 June	Catalan Grand Prix	Catalunya	Mike di Meglio	Marco Simoncelli	Dani Pedrosa	Report
8	22 June	British Grand Prix	Donington	Scott Redding	Mika Kallio	Casey Stoner	Report
9	28 June	Dutch TT	Assen	Gábor Talmácsi	Álvaro Bautista	Casey Stoner	Report
10	13 July	German Grand Prix	Sachsenring	Mike di Meglio	Marco Simoncelli	Casey Stoner	Report
11	20 July	United States Grand Prix	Laguna Seca	No 125cc and 250cc race	No 125cc and 250cc race	Valentino Rossi	Report
12	17 August	Czech Republic Grand Prix	Brno	Stefan Bradl	Alex Debón	Valentino Rossi	Report
13	31 August	San Marino Grand Prix	Misano	Gábor Talmácsi	Álvaro Bautista	Valentino Rossi	Report
14	14 September	Indianapolis Grand Prix	Indianapolis	Nicolás Terol	Race cancelled	Valentino Rossi	Report
15	28 September	Japanese Grand Prix	Motegi	Stefan Bradl	Marco Simoncelli	Valentino Rossi	Report
16	5 October	Australian Grand Prix	Phillip Island	Mike di Meglio	Marco Simoncelli	Casey Stoner	Report
17	19 October	Malaysian Grand Prix	Sepang	Gábor Talmácsi	Álvaro Bautista	Valentino Rossi	Report
18	26 October	Valencian Grand Prix	Valencia	Simone Corsi	Marco Simoncelli	Casey Stoner	Report
