Television service	Country	Language	Content	HDTV	Package/Option
Sky Sport 24 HD	Italy	Italian	sport news	yes	Sky Sport o Sky Calcio o Sky TV + Sky HD
Sky Sport 1 HD	Italy	Italian	sport	yes	Sky Sport + Sky HD
Sky Sport 2 HD	Italy	Italian	sport	yes	Sky Sport + Sky HD
Sky Sport 3 HD	Italy	Italian	sport	yes	Sky Sport + Sky HD
Sky Sport Extra HD	Italy	Italian	sport	yes	Sky Sport + Sky HD
FOX Sports HD	Italy	Italian	sport	yes	Sky Calcio + Sky HD
Sky 3D	Italy	Italian	tematico	yes	Tutti i pacchetti + Sky HD
Eurosport HD	Italy	Italian	sport	yes	Sky Sport + Sky HD
Eurosport 2 HD	Italy	Italian	sport	yes	Sky Sport + Sky HD
ESPN America HD	United States	English	sport	yes	Sky Sport + Sky HD
ESPN Classic	Italy	Italian	sport	no	Sky Sport
SNAI Sat	Italy	Italian	ippica	no	Sky Sport
Class Horse TV	Italy	Italian	ippica	no	no ( FTA )
POKERItalia24	Italy	Italian	poker	no	no ( FTA )
SuperTennis HD	Italy	Italian	tennis	yes	no ( FTV )
Sportitalia	Italy	Italian	sport	no	qualsiasi
Sportitalia 2	Italy	Italian	sport	no	qualsiasi
Rai Sport 1	Italy	Italian	sport	no	no ( FTA )
Rai Sport 2	Italy	Italian	sport	no	no ( FTA )
Milan Channel	Italy	Italian	calcio	no	Option
Juventus Channel	Italy	Italian	calcio	no	Option
Inter Channel	Italy	Italian	calcio	no	Option
Lazio Style Channel	Italy	Italian	calcio	no	Option
Roma Channel	Italy	Italian	calcio	no	Option
Caccia e Pesca	Italy	Italian	caccia e pesca	no	Option
Caccia e Pesca +	Italy	Italian	timeshift +6 di Caccia e Pesca	no	Option
Cartello promozionale Sky HD	Italy	Italian	promozionale	no	qualsiasi tranne Sky HD
Sky Sport 1	Italy	Italian	sport	no	Sky Sport
Cartello promozionale Sky HD	Italy	Italian	promozionale	no	qualsiasi tranne Sky HD
Sky Sport 2	Italy	Italian	sport	no	Sky Sport
Cartello promozionale Sky HD	Italy	Italian	promozionale	no	qualsiasi tranne Sky HD
Sky Sport 3	Italy	Italian	sport	no	Sky Sport
Cartello promozionale Sky HD	Italy	Italian	promozionale	no	qualsiasi tranne Sky HD
Sky Sport Extra	Italy	Italian	sport	no	Sky Sport
Cartello promozionale Sky HD	Italy	Italian	promozionale	no	qualsiasi tranne Sky HD
Sky Supercalcio	Italy	Italian	calcio	no	Sky Calcio
Cartello promozionale Sky HD	Italy	Italian	promozionale	no	qualsiasi tranne Sky HD
Eurosport	Italy	Italian	sport	no	Sky Sport
Eurosport 2	Italy	Italian	sport	no	Sky Sport
ESPN America	Italy	Italian	sport	no	Sky Sport
