Place	Player	Country	Score	To par
T1	Tom Lehman	United States	70-72-67=209	–1
T1	Greg Norman	Australia	68-67-74=209	–1
T3	Phil Mickelson	United States	68-70-72=210	E
T3	Bob Tway	United States	69-69-72=210	E
T5	Corey Pavin	United States	72-69-71=212	+2
T5	Nick Price	Zimbabwe	66-73-73=212	+2
T5	Steve Stricker	United States	71-70-71=212	+2
T5	Scott Verplank	United States	72-69-71=212	+2
T5	Ian Woosnam	Wales	72-71-69=212	+2
T10	Davis Love III	United States	72-68-73=213	+3
T10	Vijay Singh	Fiji	70-71-72=213	+3
