Draft	Round	Pick	Player	Nationality
1974	1	2	Wilf Paiement Category:Articles with hCards	Canada
1974	2	20	Glen Burdon Category:Articles with hCards	Canada
1974	3	38	Bob Bourne Category:Articles with hCards	Canada
1974	4	56	Roger Lemelin Category:Articles with hCards	Canada
1974	5	74	Mark Lomenda Category:Articles with hCards	Canada
1974	6	92	John Shewchuk	United States
1974	7	110	Mike Boland Category:Articles with hCards	Canada
1974	9	145	Brian Kuruliak	Canada
1974	10	162	Denis Carufel	Canada
1974	11	177	Soren Johansson	Sweden
1974	12	191	Mats Ullander	Sweden
1974	13	203	Ed Pizunski	Canada
1974	14	213	Willie Wing	Canada
1975	1	2	Barry Dean Category:Articles with hCards	Canada
1975	2	20	Don Cairns Category:Articles with hCards	Canada
1975	3	38	Neil Lyseng	Canada
1975	4	56	Ron Delorme Category:Articles with hCards	Canada
1975	5	74	Terry McDonald Category:Articles with hCards	Canada
1975	6	92	Eric Sanderson	Canada
1975	7	110	Bill Oleschuk Category:Articles with hCards	Canada
1975	8	128	Joe Baker	United States
1975	9	145	Scott Williams	Canada
1976	1	11	Paul Gardner Category:Articles with hCards	Canada
1976	3	38	Mike Kitchen Category:Articles with hCards	Canada
1976	5	74	Rick McIntyre	Canada
1976	6	92	Larry Skinner Category:Articles with hCards	Canada
