No.	Player	Date of Birth	Batting Style	Bowling Style	First Class Team
80.	Aamer Sohail (captain)	14 September 1966	Left hand bat	Left arm orthodox spin	Lahore
109.	Shahid Afridi	1 March 1980	Right hand bat	Right arm leg break	Karachi
60.	Ijaz Ahmed	20 September 1968	Right hand bat	Left arm medium	Islamabad
123.	Shoaib Akhtar	13 August 1975	Right hand bat	Right arm fast	Rawalpindi
53.	Wasim Akram	3 June 1966	Left hand bat	Left arm fast	Lahore
102.	Saleem Elahi	21 November 1976	Right hand bat	Right arm off break	Lahore
67.	Aaqib Javed	5 August 1972	Right hand bat	Right arm fast-medium	Islamabad
87.	Arshad Khan	22 March 1971	Right hand bat	Right arm off break	Peshawar
79.	Moin Khan (wicket-keeper)	23 September 1971	Right hand bat	Wicket-keeper	Karachi
108.	Azhar Mahmood	28 February 1975	Right hand bat	Right arm fast-medium	Islamabad
38.	Saleem Malik	16 April 1963	Right hand bat	Right arm medium	Lahore
103.	Saqlain Mushtaq	29 December 1976	Right hand bat	Right arm off break	Islamabad
119.	Akhtar Sarfraz	20 February 1976	Left hand bat	Right arm off break	Peshawar
122.	Yousuf Youhana	27 August 1974	Right hand bat	Right arm off break	Lahore
