Week #	Dance/song	Horwood	Goodman	Dixon	Tonioli	Total	Result
1	Waltz / I Never Loved A Man (The Way I Love You)	6	7	8	8	29	Safe
2	Salsa / Let's Hear It for the Boy	8	8	8	8	32	Safe
3	Quickstep / I Wan'na Be Like You (The Monkey Song)	8	8	9	9	34	Safe
4	Tango / Allegretto	8	9	9	9	35	Safe
5	Viennese Waltz / I Put a Spell on You	9	10	10	10	39	Safe
6	Rumba / Wishing on a Star	4	9	7	8	28	Safe
7	Jive / Hit the Road Jack	9	10	10	10	39	Safe
9	American Smooth / Fly Me to the Moon	6	7	9	9	31	Safe
10	Paso Doble / James Bond Theme	8	9	9	9	35	Bottom Two
11	Argentine Tango / Época	8	8	8	9	33	Eliminated
11	Swing / In the Mood	N/A	N/A	N/A	N/A	4th/2 Points	Eliminated
