Place	Rider	Country	Machine	Speed	Time	Points
1	Dieter Braun	West Germany	Suzuki	89.27mph	1:16.05.0	15
2	Börje Jansson	Sweden	Maico	86.56mph	1:18.24.4	12
3	Gunter Bartusch	East Germany	MZ	85.93mph	1:19.02.8	10
4	Steve Murray	United Kingdom	Honda	84.65mph	1:20.14.6	8
5	Fred Launchbury	United Kingdom	Bultaco	84.25mph	1:20.37.8	6
6	J.Curry	United Kingdom	Honda	83.99mph	1:20.52.0	5
7	Tommy Robb	United Kingdom	Maico	81.70mph	1.23.08.8	4
8	John Kiddie	United Kingdom	Honda	81.27mph	1.23.34.8	3
9	Barrie Dickinson	United Kingdom	Honda	80.43mph	1.24.27.0	2
10	Ken Armstrong	United Kingdom	Honda	79.21mph	1.25.45.2	1
