Episode	Date Aired	Timeslot	Rating	Nightly Rank	Weekly Rank
1.01	2 September 2010	Thursday 8:30pm	1,168,000	4	25
1.02	9 September 2010	Thursday 8:30pm	925,000	11	46
1.03	16 September 2010	Thursday 8:30pm	763,000	14	67
1.04	23 September 2010	Thursday 8:30pm	529,000 (did not air in Melbourne)	22	N/A
1.05	30 September 2010	Thursday 8:30pm	715,000	17	74
1.06	7 October 2010	Thursday 8:30pm	670,000	14	65
1.07	14 October 2010	Thursday 8:30pm	681,000	13	62
1.08	21 October 2010	Thursday 9:30pm	487,000	23	N/A
1.09	28 October 2010	Thursday 9:30pm	560,000	21	99
1.10	4 November 2010	Thursday 9:30pm	595,000	20	90
1.11	4 November 2010	Thursday 10:30pm	410,000	31	N/A
1.12	11 November 2010	Thursday 9:30pm	574,000	22	93
1.13	11 November 2010	Thursday 10:30pm	440,000	27	N/A
