No. in series	No. in season	Title	Directed by	Written by	Original air date	Prod. code	U.S. Viewers (in millions)
22	1	"Zeke Jumps the Shark"	Eyal Gordin	Tom Burkhard	March15,2010	201	0.8
23	2	"Tall Stack of Waffles"	Joe Menendez	Tom Burkhard & Matt Dearborn	March22,2010	204	N/A
24	3	"Airheads"	Gregory Hobson	David Regal	March29,2010	205	0.3
25	4	"Luther Unleashed"	Eyal Gordin	Matt Dearborn	April5,2010	202	N/A
26	5	"Old Nasty"	Savage Steve Holland	Bernie Ancheta	April12,2010	207	N/A
27	6	"Double Crush"	Savage Steve Holland	Matt Dearborn	May3,2010	208	N/A
28	7	"Plunk Hunting"	Joe Menendez	Tom Burkhard	May10,2010	203	N/A
29	8	"Kojo's BFF"	Eyal Gordin	Jason Jordan	May17,2010	209	N/A
30	9	"One Strange Night"	Eyal Gordin	Devin Bunje & Nick Stanton	May24,2010	210	N/A
31	10	"Luther Waffles and the Skateboard of Doom"	Roger Nygard	Tom Burkhard & Matt Dearborn	June21,2010	227–228	0.7
32	11	"Crouching Zeke, Dancing Luther"	Savage Steve Holland	Jason Jordan	June28,2010	213	N/A
33	12	"Luther Waffles: Skate Cop"	Savage Steve Holland	Bernie Ancheta	July5,2010	214	N/A
34	13	"Treasure"	Rick Weis	Tom Burkhard	July12,2010	217	N/A
35	14	"Rocket Men"	Gregory Hobson	Devin Bunje & Nick Stanton	July19,2010	216	N/A
36	15	"Board in Class"	Gregory Hobson	David Regal	July26,2010	215	N/A
37	16	"Local Heroes"	Millicent Shelton	David Regal	August9,2010	220	N/A
39	18	"Little Bro, Big Trouble"	Millicent Shelton	Tom Burkhard	August23,2010	219	N/A
40	19	"Robo-Luth"	John Putch	Devin Bunje & Nick Stanton	October18,2010	221	N/A
41	20	"The Bro List"	Matt Dearborn	Jessica Glassberg	October25,2010	225	N/A
42	21	"Seoul Bros"	Gregory Hobson	Devin Bunje & Nick Stanton	November1,2010	206	N/A
43	22	"Sludge"	Eyal Gordin	Bernie Ancheta & Jason Jordan	November15,2010	223	N/A
44	23	"Goin' Zoomin'"	Eyal Gordin	Tom Burkhard	November22,2010	224	N/A
45	24	"Ball of Trash"	Matt Dearborn	Matt Dearborn	November29,2010	218	N/A
