Name	Seasons	Matches	Win %	Draw	Draw %	Lose	Lose %
Camillo Achilli	1	30	36.6667 %	10	33.3333 %	9	30 %
Dai Astley	1	25	48 %	8	32 %	5	20 %
Osvaldo Bagnoli	2	74	48.6486 %	24	32.4324 %	14	18.9189 %
Rafael Benítez	1	25	48%	6	24%	7	28%
Eugenio Bersellini	5	207	44.4444%	80	38.6473%	35	16.9082%
Ottavio Bianchi	2	48	43.7500 %	12	25 %	15	31.25 %
Giuseppe Bigogno	1	27	59.2593 %	6	22.2222 %	5	18.5185 %
Aldo Campatelli	3	53	49.0566%	11	20.7547%	16	30.1887%
Giulio Cappelli	3	59	59.3220 %	14	23.7288 %	10	16.9492 %
Carlo Carcano	3	74	41.8919 %	16	21.6216 %	27	36.4865 %
Tony Cargnelli	2	69	57.9710 %	14	20.2899 %	15	21.7391 %
Albino Carraro	1	21	61.9048 %	5	23.8095 %	3	14.2857 %
Jesse Carver	1	40	32.5 %	13	32.5 %	14	35 %
Ilario Castagner	2	70	52.8571 %	20	28.5714 %	13	18.5714 %
Armando Castellazzi	2	72	45.8333 %	23	31.9444 %	16	22.2222 %
Luciano Castellini	2	6	33.3333 %	2	33.3333 %	2	33.3333 %
Giuseppe Chiappella	2	83	45.7831 %	27	32.5301 %	18	21.6867 %
Mario Corso	1	30	43.3333 %	7	23.3333 %	10	33.3333 %
Hector Cuper	3	110	51.8182%	31	28.1818%	22	20%
Gyula Feldmann	2	59	47.4576 %	20	33.8983 %	11	18.6441 %
Giovanni Ferrari	1	31	48.3871 %	4	12.9032 %	12	38.7097 %
Luigi Ferrero	1	23	34.7826 %	11	47.8261 %	4	17.3913 %
Ivo Fiorentini	1	31	22.5806 %	12	38.7097 %	12	38.7097 %
Alfredo Foni	4	135	48.8889%	41	30.3704%	28	20.7407%
Virgilio Fossati	6	110	62.7273%	9	8.1818%	32	29.0909%
Annibale Frossi	1	23	34.7826 %	11	47.8261 %	4	17.3913 %
Gian Piero Gasperini	1	5	0%	1	20%	4	80%
Heriberto Herrera	2	56	48.2143 %	15	26.7857 %	14	25 %
Helenio Herrera	9	366	56.0109%	93	25.4098%	68	18.5792%
Roy Hodgson	3	89	44.9438 %	26	29.2135 %	23	25.8427 %
Giovanni Invernizzi	3	100	54%	26	26%	20	20%
Leonardo	1	32	68.75%	3	9.38%	7	21.88%
Marcello Lippi	2	50	50 %	11	22 %	14	28 %
Mircea Lucescu	1	22	31.8182 %	5	22.7273 %	10	45.4545 %
Roberto Mancini	4	226	61.9469%	60	26.5487%	26	11.5044%
Rino Marchesi	1	47	42.5532 %	17	36.1702 %	10	21.2766 %
Giampiero Marini	1	18	33.3333 %	2	11.1111 %	10	55.5556 %
Enea Masiero	2	32	46.8750 %	9	28.1250 %	8	25 %
Francesco Mauro	1	23	73.9130 %	5	21.7391 %	1	4.3478 %
Walter Mazzarri	0	0	0 %	0	0 %	0	0 %
Giuseppe Meazza	4	82	45.1220%	15	18.2927%	30	36.5854%
Jose Mourinho	2	108	62.96%	25	23.15%	15	13.89%
Nino Nutrizio	1	19	52.6316 %	3	15.7895 %	6	31.5789 %
Aldo Olivieri	2	76	63.1579 %	13	17.1053 %	15	19.7368 %
Corrado Orrico	1	23	34.7826 %	11	47.8261 %	4	17.3913 %
Giuseppe Peruchetti	1	31	45.1613 %	7	22.5806 %	10	32.2581 %
Luigi Radice	2	41	39.0244 %	13	31.7073 %	12	29.2683 %
Claudio Ranieri	1	34	47.06 %	5	14.70 %	13	38.24 %
Nino Resegotti	1	23	73.9130 %	5	21.7391 %	1	4.3478 %
Paolo Schiedler	2	44	50 %	6	13.6364 %	16	36.3636 %
Luigi Simoni	2	73	61.6438 %	12	16.4384 %	16	21.9178 %
Bob Spotishwood	2	47	44.6809 %	11	23.4043 %	15	31.9149 %
Andrea Stramaccioni	2	65	47.69 %	11	16.92 %	23	35.39 %
Luis Suárez	3	76	40.7895%	24	31.5789%	21	27.6316%
Marco Tardelli	1	40	37.5 %	13	32.5 %	12	30 %
Istvan Toth	1	34	44.1176 %	8	23.5294 %	11	32.3529 %
Giovanni Trapattoni	5	230	54.7826%	59	25.6522%	45	19.5652%
Arpad Veisz	6	212	51.8868%	47	22.1698%	55	25.9434%
Corrado Verdelli	1	1	0 %	0	0 %	1	100 %
Joszef Viola	1	25	48 %	3	12 %	10	40 %
Alberto Zaccheroni	1	43	41.8605 %	14	32.5581 %	11	25.5814 %
Italo Zamberletti	1	31	45.1613 %	7	22.5806 %	10	32.2581 %
