Name	Position	League Apps	League Goals	FA Cup Apps	FA Cup Goals	League Cup Apps	League Cup Goals	Total Apps	Total Goals
Terry Austin	FW	16 (2)	8	1	0	0	0	17 (2)	8
Malcolm Brown	DF	46	3	4	0	2	0	52	3
David Cowling	MF	43	4	4	0	2	0	49	4
Bobby Davison	MF	1 (1)	0	0	0	0	0	1 (1)	0
Neil Freeman (1st Spell)	GK	10	0	0	0	0	0	10	0
Neil Freeman (2nd Spell)	GK	8	0	0	0	0	0	8	0
Keith Hanvey	DF	45	1	3	1	2	0	50	2
Mick Kennedy	MF	41 (1)	2	4	0	0 (2)	0	45 (3)	2
Steve Kindon	FW	37 (3)	18	4	0	2	1	43 (3)	19
Mick Laverick	MF	25	2	1 (1)	1	2	0	28 (1)	3
Mark Lillis	MF	29 (5)	7	3 (1)	0	0	0	32 (6)	7
Bernard Purdie	DF	8 (1)	0	0	0	2	0	10 (1)	0
Andy Rankin	GK	28	0	4	0	2	0	34	0
Ian Robins	FW	37 (4)	11	3 (1)	4	2	0	42 (5)	15
Fred Robinson	DF	42	1	4	0	2	0	48	1
Brian Stanton	MF	44	12	4	4	2	0	50	16
Dave Sutton	DF	39	1	4	0	2	0	45	1
Chris Topping	DF	7	0	1	0	0	0	8	0
