Outcome	Date	Tournament	Surface	Opponent	Score
Winner	21/10/2001	Makarska	Clay	Petra Dizdar	1–6, 7–5, 6–1
Winner	17/03/2002	Makarska	Clay	Libuše Průšová	6–1, 2–6, 7–6
Winner	01/09/2002	Spoleto	Clay	Shelley Stephens	7–5, 6–1
Winner	24/06/2007	Fort Worth	Hard	Lauren Embree	6–4, 6–1
Winner	01/07/2007	Edmond	Hard	Gabriela Paz	3–6, 6–1, 6–4
Winner	22/07/2007	Wichita	Hard	Gabriela Paz	6–4, 6–4
Winner	05/08/2007	St. Joseph	Hard	Stacia Fonseca	6–3, 6–1
Winner	30/05/2010	Sumter	Hard	Alexis King	6–2, 1–6, 6–2
Winner	19/08/2012	town	Hard	Tamara Curovic	6–3, 4–1, RET
Winner	24/03/2013	Ipswich	Hard	Storm Sanders	7–5, 2–6, 6–2
Winner	25/08/2013	San Luis Potosi	Hard	Ana Sofia Sanchez	6–4, 6–4
