Year	Population (Region total)	Population (Stanthorpe)	Population (Warwick)	Population (Allora)	Population (Glengallan)	Population (Rosenthal)
1933	25,016	6,934	6,664	2,624	6,334	2,460
1947	24,009	7,419	7,129	2,217	5,269	1,975
1954	25,862	8,335	9,151	2,106	4,639	1,631
1961	26,288	8,514	9,843	1,961	4,388	1,582
1966	25,917	8,503	10,065	1,890	3,906	1,553
1971	24,115	8,189	9,303	1,719	3,410	1,494
1976	24,583	8,709	9,169	1,666	3,491	1,548
1981	24,300	8,576	8,853	1,679	3,611	1,581
1986	26,270	9,143	9,435	2,041	3,688	1,963
1991	28,288	9,556	10,393	2,132	3,966	2,241
1996	29,563	9,596	10,896	2,234	3,990	2,742
2001	30,554	9,860	10,956	2,439	4,088	3,129
2006	31,385	9,968	11,143	2,437	4,169	3,558
