Date	Venue	Score	Result	Competition
16 February 2006	Bahrain National Stadium , Manama	2–0	2–0	Friendly
18 February 2006	Bahrain National Stadium, Manama	1–0	1–0	Friendly
18 February 2006	Bahrain National Stadium, Manama	2–0	2–0	Friendly
1 March 2006	King Abdullah Stadium , Amman	1–0	1–0	2007 AFC Asian Cup qualifier
1 April 2006	Bangabandhu Stadium , Dhaka	2–0	11–0	2006 AFC Challenge Cup
1 April 2006	Bangabandhu Stadium, Dhaka	3–0	11–0	2006 AFC Challenge Cup
1 April 2006	Bangabandhu Stadium, Dhaka	5–0	11-0	2006 AFC Challenge Cup
1 April 2006	Bangabandhu Stadium, Dhaka	6–0	11–0	2006 AFC Challenge Cup
1 April 2006	Bangabandhu Stadium, Dhaka	8–0	11–0	2006 AFC Challenge Cup
1 April 2006	Bangabandhu Stadium, Dhaka	11–0	11–0	2006 AFC Challenge Cup
3 April 2006	Bangabandhu Stadium, Dhaka	3–0	4–0	2006 AFC Challenge Cup
5 April 2006	Bangabandhu Stadium, Dhaka	1–0	1–1	2006 AFC Challenge Cup
8 March 2012	Dasarath Rangasala Stadium , Kathmandu	2–0	2–0	2012 AFC Challenge Cup
19 March 2012	Dasarath Rangasala Stadium, Kathmandu	3–4	3–4	2012 AFC Challenge Cup
