Place	Player	Country	Score	To par
1	Craig Stadler	United States	64	–7
T2	Bernhard Langer	West Germany	67	–4
T2	Bill Rogers	United States	67	–4
T2	Tom Watson	United States	67	–4
T5	Nick Faldo	England	68	–3
T5	Mike Ferguson	Australia	68	–3
T5	Vaughan Somers	Australia	68	–3
T5	Hal Sutton	United States	68	–3
T5	Sam Torrance	Scotland	68	–3
T10	Eamonn Darcy	Ireland	69	–2
T10	David Dunk	England	69	–2
T10	Hubert Green	United States	69	–2
T10	Graham Marsh	Australia	69	–2
T10	Philip Parkin (a)	Wales	69	–2
T10	Lee Trevino	United States	69	–2
