Official Name	Status	Area km 2	Population	Census Ranking
Saint-Joseph	Parish	321.87	1696	1,472 of 5,008
Saint-Jacques	Parish	298.82	1607	1,531 of 5,008
Sainte-Anne	Parish	369.25	1081	1,942 of 5,008
Saint-Léonard	Parish	343.95	1039	2,011 of 5,008
Saint-Basile	Parish	129.73	799	2,364 of 5,008
Rivière-Verte	Parish	715.58	791	2,384 of 5,008
Saint-François	Parish	344.70	754	2,458 of 5,008
Lac-Baker	Parish	57.38	566	2,847 of 5,008
Saint-Hilaire	Parish	41.55	531	2,928 of 5,008
Notre-Dame-de-Lourdes	Parish	188.63	284	3,729 of 5,008
Clair	Parish	44.29	282	3,737 of 5,008
Baker Brook	Parish	125.69	177	4,103 of 5,008
