Outcome	Year	Championship	Surface	Opponent in the final	Score in the final
Runner-up	1973	Monte-Carlo	Clay	Ilie Năstase	4–6, 1–6, 2–6
Runner-up	1973	Stockholm	Hard	Tom Gorman	3–6, 6–4, 6–7
Winner	1974	Rome	Clay	Ilie Năstase	6–3, 6–4, 6–2
Winner	1974	Boston	Clay	Tom Okker	7–6, 6–1, 6–1
Winner	1975	Boston	Clay	Guillermo Vilas	6–3, 6–4, 6–2
Winner	1976	Boston	Clay	Harold Solomon	6–7, 6–4, 6–1, 6–2
Runner-up	1976	Philadelphia	Carpet	Jimmy Connors	6–7, 4–6, 0–6
Winner	1977	Monte Carlo	Clay	Corrado Barazzutti	6–3, 7–5, 6–0
Winner	1977	London	Carpet	John Lloyd	6–4, 6–4, 6–3
Winner	1978	Tokyo	Carpet	Brian Teacher	6–3, 6–4
Winner	1978	Rome	Clay	Adriano Panatta	1–6, 6–3, 6–1, 4–6, 6–3
Winner	1979	Tokyo	Carpet	Jimmy Connors	6–3, 6–2
Winner	1979	Monte Carlo	Clay	Vitas Gerulaitis	6–2, 6–1, 6–3
Winner	1979	Toronto	Hard	John McEnroe	6–3, 6–3
Winner	1979	Las Vegas	Hard	Jimmy Connors	6–3, 6–2
Winner	1980	Monte Carlo	Clay	Guillermo Vilas	6–1, 6–0, 6–2
Runner-up	1980	Toronto	Hard	Ivan Lendl	4–6, 5–4, ret.
Winner	1980	Stockholm	Hard	John McEnroe	6–3, 6–4
