Driver	Constructor	Laps	Time/Retired	Grid
Niki Lauda	Ferrari	54	1:40:18.84	1
James Hunt	Hesketh - Ford	54	+ 1.59	3
Jochen Mass	McLaren - Ford	54	+ 2.31	7
Emerson Fittipaldi	McLaren - Ford	54	+ 39.77	10
Mario Andretti	Parnelli - Ford	54	+ 1:02.08	15
Patrick Depailler	Tyrrell - Ford	54	+ 1:07.40	13
Tony Brise	Hill - Ford	54	+ 1:09.61	12
Jean-Pierre Jarier	Shadow - Ford	54	+ 1:19.78	4
Jody Scheckter	Tyrrell - Ford	54	+ 1:31.68	2
Ronnie Peterson	Lotus - Ford	54	+ 1:36.02	17
Jacques Laffite	Williams - Ford	54	+ 1:36.77	16
Jean-Pierre Jabouille	Tyrrell - Ford	54	+ 1:37.13	21
John Watson	Surtees - Ford	53	+ 1 Lap	14
Carlos Reutemann	Brabham - Ford	53	+ 1 Lap	11
Gijs Van Lennep	Ensign - Ford	53	+ 1 Lap	22
Alan Jones	Hill - Ford	53	+ 1 Lap	20
Bob Evans	BRM	52	+ 2 Laps	25
Lella Lombardi	March - Ford	50	+ 4 Laps	26
Carlos Pace	Brabham - Ford	26	Transmission	5
Jacky Ickx	Lotus - Ford	17	Brakes	19
Wilson Fittipaldi	Fittipaldi - Ford	14	Engine	23
Vittorio Brambilla	March - Ford	6	Chassis	8
Clay Regazzoni	Ferrari	6	Engine	9
Mark Donohue	Penske - Ford	6	Transmission	18
Tom Pryce	Shadow - Ford	2	Transmission	6
François Migault	Williams - Ford	0	Non Starter	24
