Season	Winner	Runner-up	Third place	Fourth place
1999	Yokohama FC	Honda Motor	Mito HollyHock ↑	Denso S.C.
2000	Yokohama FC (2) ↑	Honda Motor	Denso S.C.	Otsuka Pharmaceuticals
2001	Honda Motor (2)	Otsuka Pharmaceuticals	Jatco F.C.	Sagawa Express
2002	Honda Motor (3)	Sagawa Express	Otsuka Pharmaceuticals	Sony Sendai
2003	Otsuka Pharmaceuticals	Honda FC	Ehime FC	Sagawa Express Osaka
2004	Otsuka Pharmaceuticals (2) ↑	Honda FC	Thespa Kusatsu ↑	YKK AP
2005	Ehime FC ↑	YKK AP	ALO's Hokuriku	Tochigi SC
2006	Honda FC (4)	Sagawa Express Tokyo	Sagawa Express Osaka	YKK AP
2007	Sagawa Express	Rosso Kumamoto ↑	FC Gifu ↑	ALO's Hokuriku
2008	Honda FC (5)	Tochigi SC ↑	Kataller Toyama ↑	Fagiano Okayama ↑
2009	Sagawa Shiga (2)	Yokogawa Musashino	Sony Sendai	New Wave Kitakyushu ↑
2010	Gainare Tottori ↑	Sagawa Shiga	Machida Zelvia	Honda FC
2011	Sagawa Shiga (3)	Nagano Parceiro	Machida Zelvia ↑	Matsumoto Yamaga ↑
