Date	Visitor	Score	Home	Decision	Attendance	Record
November 1	Pittsburgh	2 – 3	Colorado	Theodore	18,007	8–4–0
November 3	Vancouver	4 – 3	Colorado	Budaj	18,007	8–5–0
November 5	Calgary	1 – 4	Colorado	Theodore	15,655	9–5–0
November 7	Edmonton	3 – 4	Colorado	Budaj	15,877	10–5–0
November 9	Colorado	1 – 2	Vancouver	Theodore	18,630	10–5–1
November 11	Minnesota	2 – 4	Colorado	Budaj	15,434	11–5–1
November 16	Colorado	1 – 6	Dallas	Theodore	18,019	11–6–1
November 18	Colorado	1 – 4	Minnesota	Budaj	18,568	11–7–1
November 20	Colorado	1 – 4	Calgary	Theodore	19,289	11–8–1
November 22	Colorado	3 – 2	Edmonton	Budaj	16,839	12–8–1
November 24	Calgary	5 – 2	Colorado	Theodore	18,007	12–9–1
November 28	Edmonton	2 – 4	Colorado	Budaj	15,128	13–9–1
November 30	Colorado	2 – 3	San Jose	Budaj	17,496	13–10–1
