GDP (PPP) per capita 2010; African/World rank 2010;	Nation	GDP by agriculture 2010	GDP by industry 2010	GDP by services 2010	Total GDP (PPP) 2010; African/World rank 2010;	GDP real growth rate 2010
$ 36,600 001/028 (001/041)	Equatorial Guinea	02.2%	93.9%	03.8%	$ 23,820,000,000 019/116 (021/113)	-0.80%
$ 23,200 002/056 (003/057)	Seychelles	02.9% (2009)	30.8% (2009)	66.2% (2009)	$ 2,053,000,000 048/185 (052/172)	6.20%
$ 14,500 003/080 (009/089)	Gabon	04.5%	62.7%	32.8%	$ 22,480,000,000 021/120 (033/138)	5.70%
$ 14,000 004/082 (002/054)	Mauritius	04.8%	24.6%	70.5%	$ 18,060,000,000 026/129 (026/120)	4.00%
$ 14,000 005/083 (005/063)	Libya	02.6%	63.8%	33.6%	$ 90,570,000,000 009/074 (008/067)	4.20%
$ 14,000 006/084 (006/064)	Botswana	02.3% (2009)	45.8% (2009)	51.9% (2009)	$ 28,490,000,000 017/110 (023/116)	8.60%
$ 10,700 007/104 (004/062)	South Africa	03.0%	31.2%	65.8%	$ 524,000,000,000 001/026 (001/021)	2.80%
$ 9,400 008/114 (007/075)	Tunisia	10.6%	34.6%	54.8%	$ 100,000,000,000 007/070 (007/062)	3.70%
$ 8,200 009/121 (015/129)	Angola	09.6% (2008)	65.8% (2008)	24.6% (2008)	$ 107,300,000,000 006/068 (012/079)	1.60%
$ 7,300 010/128 (008/087)	Algeria	08.3%	61.5%	30.2%	$ 251,100,000,000 004/049 (003/038)	3.30%
$ 6,900 011/132 (010/091)	Namibia	09.0%	32.7%	58.2%	$ 14,600,000,000 030/138 (028/128)	4.40%
$ 6,200 012/138 (014/115)	Egypt	13.5%	37.9%	48.6%	$ 497,800,000,000 002/027 (002/032)	5.10%
$ 4,800 013/151 (012/100)	Morocco	17.1%	31.6%	51.4%	$ 151,400,000,000 005/058 (005/053)	3.20%
$ 4,500 014/154 (013/105)	Swaziland	08.6%	42.0%	49.4%	$ 6,067,000,000 037/156 (038/148)	2.00%
$ 4,100 015/158 (033/167)	Republic of the Congo	04.4%	63.7%	32.0%	$ 17,110,000,000 028/132 (043/156)	9.10%
$ 3,800 016/159 (011/093)	Cape Verde	09.0%	16.2%	74.8%	$ 1,908,000,000 049/187 (047/161)	5.40%
$ 2,800 017/172 (024/151)	Djibouti	03.2% (2006)	14.9% (2006)	81.9% (2006)	$ 2,105,000,000 047/184 (049/168)	4.60%
$ 2,500 018/175 (016/133)	Ghana	33.7%	24.7%	41.6%	$ 61,970,000,000 012/086 (010/073)	5.70%
$ 2,500 019/178 (036/171)	Nigeria	31.9%	32.9%	35.2%	$ 377,900,000,000 003/032 (004/046)	8.40%
$ 2,300 020/184 (020/140)	Cameroon	20.0%	30.9%	49.1%	$ 44,330,000,000 014/095 (013/082)	3.00%
$ 2,300 021/185 (017/136)	Sudan	32.1%	29.0%	38.9%	$ 100,000,000,000 008/071 (006/060)	5.10%
$ 2,100 022/188 (019/139)	Mauritania	12.5% (2008)	46.7% (2008)	40.7% (2008)	$ 6,655,000,000 036/154 (037/146)	4.70%
$ 1,900 023/191 (022/148)	The Gambia	30.1%	16.3%	53.6%	$ 3,494,000,000 043/170 (046/160)	5.70%
$ 1,900 024/192 (025/153)	Senegal	14.9%	21.4%	63.6%	$ 23,880,000,000 018/114 (020/111)	4.20%
$ 1,800 025/194 (029/158)	São Tomé and Príncipe	14.7%	22.9%	62.4%	$ 311,000,000 053/212 (053/187)	4.50%
$ 1,800 026/195 (031/162)	Côte d'Ivoire	28.2%	21.3%	50.6%	$ 37,020,000,000 016/100 (016/097)	2.60%
$ 1,700 027/197 (021/142)	Lesotho	07.1%	34.6%	58.2%	$ 3,303,000,000 046/173 (040/152)	2.40%
$ 1,600 028/198 (027/156)	Chad	50.5%	07.0%	42.5%	$ 17,360,000,000 027/131 (027/125)	5.10%
$ 1,600 029/199 (039/174)	Kenya	22.0%	16.0%	62.0%	$ 66,030,000,000 011/083 (015/088)	5.00%
$ 1,500 030/200 (038/173)	Benin	33.2% (2007)	14.5% (2007)	52.3% (2007)	$ 13,990,000,000 031/139 (035/142)	2.50%
$ 1,500 031/201 (042/178)	Zambia	19.7%	33.7%	46.6%	$ 20,040,000,000 023/124 (032/136)	7.60%
$ 1,400 032/202 (050/188)	Tanzania	42.0%	18.0%	40.0%	$ 58,440,000,000 013/088 (018/099)	6.50%
$ 1,300 033/204 (026/155)	Uganda	23.6%	24.5%	51.9%	$ 42,150,000,000 015/097 (011/075)	5.20%
$ 1,200 034/206 (035/170)	Burkina Faso	30.1% (2009)	20.7% (2009)	49.2% (2009)	$ 19,990,000,000 024/126 (024/117)	5.80%
$ 1,200 035/208 (040/176)	Mali	45.0% (2001)	17.0% (2001)	38.0% (2001)	$ 16,770,000,000 029/134 (029/129)	4.50%
$ 1,100 036/209 (032/164)	Rwanda	42.1%	14.3%	43.6%	$ 12,160,000,000 033/142 (030/131)	6.50%
$ 1,100 037/210 (048/184)	Guinea-Bissau	62.0% (1999)	12.0% (1999)	26.0% (1999)	$ 1,784,000,000 050/189 (050/169)	3.50%
$ 1,000 038/211 (034/169)	Mozambique	28.8%	26.0%	45.2%	$ 21,810,000,000 022/122 (019/101)	7.00%
$ 1,000 039/212 (028/157)	Comoros	40.0% (2001)	04.0% (2001)	56.0% (2001)	$ 800,000,000 052/205 (051/171)	2.10%
$ 1,000 040/213 (047/183)	Ethiopia	42.9%	13.7%	43.4%	$ 86,120,000,000 010/076 (009/069)	8.00%
$ 1,000 041/214 (023/150)	Guinea	25.8%	45.7%	28.5%	$ 10,810,000,000 035/150 (022/113)	1.90%
$ 900 042/216 (030/161)	Togo	47.4% (2009)	25.4% (2009)	27.2% (2009)	$ 5,974,000,000 038/157 (034/140)	3.40%
$ 900 043/218 (043/179)	Madagascar	26.5%	16.7%	56.8%	$ 19,410,000,000 025/127 (025/119)	-2.00%
$ 900 044/219 (044/180)	Sierra Leone	49.0% (2005)	31.0% (2005)	21.0% (2005)	$ 4,720,000,000 041/163 (041/153)	5.00%
$ 800 045/220 (053/191)	Malawi	33.4%	21.7%	44.9%	$ 12,980,000,000 032/140 (036/145)	6.60%
