Year	Title	Type	Label	Label-Nr
1961	Freedom Sound	Studio	Pacific Jazz	ST-27
1962	Lookin' Ahead	Studio	Pacific Jazz	ST-43
1962	The Jazz Crusaders at the Lighthouse	Live	Pacific Jazz	ST-57
1963	Tough Talk	Studio	Pacific Jazz	ST-68
1963	Heat Wave	Studio	Pacific Jazz	ST-76
1963	Jazz Waltz (w. Les McCann)	Studio	Pacific Jazz	ST-81
1964	Stretchin' Out	Studio	Pacific Jazz	ST-83
1965	The Thing	Studio	Pacific Jazz	ST-87
1965	Chile Con Soul	Studio	Pacific Jazz	ST-20092
1966	Live at the Lighthouse '66	Live	Pacific Jazz	ST-20098
1966	Talk That Talk	Studio	Pacific Jazz	ST-20106
1966	The Festival Album	Live	Pacific Jazz	ST-20115
1967	Uh Huh	Studio	Pacific Jazz	ST-20124
1968	Lighthouse '68	Live	Pacific Jazz	ST-20131
1968	Powerhouse	Studio	Pacific Jazz	ST-20136
1969	Lighthouse '69	Live	Pacific Jazz	ST-20165
1970	Give Peace a Chance	Studio	Liberty	LST-11005
1970	Old Socks, New Shoes	Studio	Chisa	CS-804
